# Tau   1000fine   1000coarse   100fine   100coarse   10fine   10coarse
0.1  1.12 2.37  1.98 3.2  5.54 4.49
0.01  1.92 3.12  5.3 4.36  11.28 10.77
0.001  5.18 4.32  10.6666666667 11.2179487179  0.0 0.0
