Timesteps  Total_Iterations  Iterations  Total_Iterations_Surrogate_Model  Iterations_Surrogate_Model  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
1  15  15  24  24  1  0.4370704215403027  0.3790819387556010  0  
2  28  13  44  20  1  0.4358246690034496  0.3304591756567611  0  
3  41  13  64  20  1  0.4170219834893510  0.3116461221012268  0  
4  54  13  81  17  1  0.4223156190123822  0.2961957145199435  0  
5  65  11  98  17  1  0.4484593678472080  0.3662577173392335  0  
6  76  11  111  13  1  0.4433426539514187  0.4264549308034863  0  
7  89  13  127  16  1  0.4456026663717450  0.3185002811531021  0  
8  102  13  142  15  1  0.4074670246713507  0.3485942852282482  0  
9  113  11  156  14  1  0.4825150867643994  0.3137783642023532  0  
10  124  11  170  14  1  0.4763086458367717  0.3852202936372314  0  
11  135  11  182  12  1  0.4794933456060107  0.4009447697023458  0  
12  146  11  195  13  1  0.4914068038378741  0.3357075013852241  0  
13  157  11  209  14  1  0.5412957069346522  0.3819133359451131  0  
14  168  11  223  14  1  0.6346903303692126  0.3822685620719904  0  
15  179  11  235  12  1  0.6048026072635728  0.4230649887133726  0  
16  190  11  248  13  1  0.5874134677520642  0.4166024560689821  0  
17  201  11  258  10  1  0.5318453906750223  0.4233865665998210  0  
18  212  11  270  12  1  0.5089913410382662  0.4113070946251298  0  
19  223  11  282  12  1  0.5032232217040240  0.4194468846540306  0  
20  234  11  294  12  1  0.5147490487280314  0.4247748215367129  0  
21  245  11  306  12  1  0.5372971810896252  0.3639464884026931  0  
22  256  11  318  12  1  0.5148682617106809  0.3959243043250112  0  
23  267  11  331  13  1  0.5021792717614197  0.4355388938549232  0  
24  278  11  344  13  1  0.5406856392551878  0.4350658635766648  0  
25  289  11  356  12  1  0.6059609448719590  0.4251337127510617  0  
26  300  11  369  13  1  0.5288277244230848  0.3474787581543223  0  
27  311  11  381  12  1  0.5068336167047957  0.3332913287338645  0  
28  322  11  392  11  1  0.5047747160409410  0.4026477462690523  0  
29  333  11  405  13  1  0.5304858138136791  0.4290031904249419  0  
30  344  11  417  12  1  0.4195199253438913  0.4079480752826081  0  
31  353  9  428  11  1  0.5108932898212404  0.3986799558050284  0  
32  364  11  437  9  1  0.4770024863071413  0.3630734215904882  0  
33  373  9  449  12  1  0.5261520792503704  0.3158230476399945  0  
34  384  11  459  10  1  0.5314070536025637  0.3958055712549520  0  
35  395  11  471  12  1  0.5520072496160336  0.4137994653616646  0  
36  406  11  481  10  1  0.5074255764464268  0.3944259060511243  0  
37  417  11  492  11  1  0.5165738766463184  0.4269941904247892  0  
38  428  11  503  11  1  0.4299579069794940  0.4182223809606792  0  
39  439  11  515  12  1  0.4226441856124180  0.3836948279254259  0  
40  450  11  526  11  1  0.3707340428711529  0.3490485996568478  0  
41  461  11  537  11  1  0.3948601071849068  0.3678774194589254  0  
42  472  11  549  12  1  0.4363146510477874  0.3630507000965780  0  
43  481  9  559  10  1  0.5172450355958287  0.3785996827494541  0  
44  492  11  571  12  1  0.5429911454325941  0.3880303539067729  0  
45  503  11  582  11  1  0.4726398265730002  0.4284553653645542  0  
46  514  11  591  9  1  0.4784450431337761  0.4144858222538423  0  
47  525  11  602  11  1  0.4535356859739161  0.3514255427117602  0  
48  536  11  615  13  1  0.4342940748295411  0.3349014618473893  0  
49  547  11  627  12  1  0.4145230305805691  0.3126956765609030  0  
50  556  9  638  11  1  0.4784323653986352  0.3582783253767257  0  
51  563  7  645  7  1  0.4398287376501668  0.3672983268591051  0  
52  572  9  654  9  1  0.5157901259729197  0.3662473697194916  0  
53  581  9  664  10  1  0.4819087026320977  0.3522376901217645  0  
54  590  9  673  9  1  0.5500886378826226  0.4349980893577113  0  
55  601  11  683  10  1  0.5425276908516042  0.3499621963222968  0  
56  612  11  696  13  1  0.4934792295468888  0.3488783695879766  0  
57  623  11  710  14  1  0.4705433776550653  0.3517865114552590  0  
58  634  11  722  12  1  0.4585570000622631  0.3665306262270590  0  
59  645  11  735  13  1  0.4519006933521009  0.3649083799286024  0  
60  656  11  747  12  1  0.4579364530041586  0.3867184831536238  0  
61  667  11  759  12  1  0.4804326021672294  0.4251059852658058  0  
62  678  11  772  13  1  0.4783924250660480  0.3717343575660838  0  
63  687  9  783  11  1  0.5356821888740401  0.3981620002626906  0  
64  698  11  796  13  1  0.5790372242671993  0.4072699082503314  0  
65  709  11  809  13  1  0.5013690428048596  0.3507692384889358  0  
66  720  11  821  12  1  0.4783950826960182  0.3554224790275572  0  
67  731  11  834  13  1  0.4653798503247338  0.3742113841277889  0  
68  742  11  847  13  1  0.4571670810544448  0.3863670123767737  0  
69  753  11  860  13  1  0.4819939537024345  0.4163469953988314  0  
70  764  11  874  14  1  0.4370213466897210  0.3405390168308212  0  
71  775  11  887  13  1  0.4560291701361273  0.3659402243273868  0  
72  786  11  900  13  1  0.4968643207163272  0.3846022509148145  0  
