# Tau   1000fine   1000coarse   100fine   100coarse   10fine   10coarse
0.1  1.0 1.0  1.0 1.04  1.86 2.45
0.01  1.0 1.0  1.0 1.1  7.98 17.61
0.001  1.0 1.0  6.06172839506 15.6790123457  0.0 0.0
