Timesteps  Total_Iterations  Iterations  Total_Iterations_Surrogate_Model  Iterations_Surrogate_Model  Convergence  avgConvRate(0)  deleted_Columns  
1  1  1  5  5  1  1.0000000000000000  0  
2  6  5  10  5  1  0.5832484053677898  0  
3  11  5  21  11  1  0.5697757746794836  0  
4  16  5  33  12  1  0.5044857803530176  0  
5  21  5  45  12  1  0.5886447658111822  0  
6  28  7  59  14  1  0.7572950540674540  0  
7  35  7  73  14  1  0.6646694724791716  0  
8  42  7  89  16  1  0.6595848129792502  0  
9  47  5  100  11  1  0.6157794457594964  0  
10  56  9  115  15  1  0.6465542442175228  0  
11  61  5  127  12  1  0.5507625698571454  0  
12  66  5  140  13  1  0.5435580466393418  0  
13  69  3  150  10  1  0.6134523233894426  0  
14  78  9  166  16  1  0.6208882445163253  0  
15  87  9  181  15  1  0.5934332108533161  0  
16  96  9  196  15  1  0.6427789798265033  0  
17  105  9  212  16  1  0.6082898032250859  0  
18  114  9  231  19  1  0.7066452346071690  0  
19  121  7  247  16  1  0.6821780154523693  0  
20  126  5  259  12  1  0.5550756147874778  0  
21  137  11  280  21  1  0.6968523854884268  0  
22  146  9  298  18  1  0.6315138708923415  0  
23  155  9  314  16  1  0.6052022317486768  0  
24  164  9  329  15  1  0.6302070022898283  0  
25  173  9  345  16  1  0.6501622623443959  0  
26  182  9  362  17  1  0.7235276848414162  0  
27  189  7  378  16  1  0.6585733774278388  0  
28  194  5  390  12  1  0.5365364918761175  0  
29  199  5  404  14  1  0.5569830998140550  0  
30  208  9  420  16  1  0.6157520115941575  0  
31  217  9  438  18  1  0.6312842503122059  0  
32  226  9  455  17  1  0.6047609732026530  0  
33  235  9  471  16  1  0.6364946782945365  0  
34  244  9  489  18  1  0.6949083102315047  0  
35  253  9  504  15  1  0.6527439774202508  0  
36  262  9  521  17  1  0.6276003477870375  0  
37  271  9  536  15  1  0.6122806150085469  0  
38  276  5  549  13  1  0.6308251118079371  0  
39  285  9  566  17  1  0.7068224299818479  0  
40  294  9  585  19  1  0.6796030370052590  0  
41  299  5  599  14  1  0.5208118553167088  0  
42  306  7  614  15  1  0.6390257940202011  0  
43  313  7  629  15  1  0.5378694679799191  0  
44  320  7  643  14  1  0.5486965990366399  0  
45  329  9  660  17  1  0.5854415286187747  0  
46  334  5  673  13  1  0.4321563862996569  0  
47  343  9  691  18  1  0.8097412663884711  0  
48  348  5  705  14  1  0.5833187420442041  0  
49  353  5  718  13  1  0.5599499650397453  0  
50  360  7  733  15  1  0.4907470069624119  0  
51  367  7  747  14  1  0.5168982430835221  0  
52  374  7  763  16  1  0.4753055877785383  0  
53  381  7  776  13  1  0.4412802244215999  0  
54  388  7  793  17  1  0.5371497455732651  0  
55  395  7  808  15  1  0.5517079999087147  0  
56  400  5  821  13  1  0.6614176403437084  0  
57  407  7  836  15  1  0.6066912049684932  0  
58  414  7  851  15  1  0.5661851411630533  0  
59  423  9  868  17  1  0.5505994633263052  0  
60  432  9  885  17  1  0.5421924735974057  0  
61  439  7  902  17  1  0.4790086853118078  0  
62  446  7  918  16  1  0.3852404026845452  0  
63  453  7  935  17  1  0.4703264385378511  0  
64  460  7  950  15  1  0.5811285211258409  0  
65  467  7  965  15  1  0.5057433702944678  0  
66  476  9  985  20  1  0.5447725328721815  0  
67  485  9  1004  19  1  0.5371906769154204  0  
68  494  9  1024  20  1  0.5225039144597472  0  
69  501  7  1040  16  1  0.4777584041682622  0  
70  508  7  1056  16  1  0.4025967950177882  0  
71  515  7  1073  17  1  0.5137864887432919  0  
72  522  7  1089  16  1  0.5173585222073556  0  
73  529  7  1107  18  1  0.4653576787603706  0  
74  536  7  1124  17  1  0.4642761866301237  0  
75  543  7  1142  18  1  0.4709335416001708  0  
76  550  7  1160  18  1  0.4609895268730881  0  
77  557  7  1178  18  1  0.3712239703772397  0  
78  566  9  1199  21  1  0.5398793896964822  0  
79  575  9  1221  22  1  0.5356988653163703  0  
80  584  9  1244  23  1  0.5518350240480024  0  
81  595  11  1269  25  1  0.5243346189001502  0  
82  606  11  1292  23  1  0.5417626649443017  0  
83  613  7  1310  18  1  0.4295941664796090  0  
84  620  7  1329  19  1  0.4333906415057695  0  
85  631  11  1352  23  1  0.5239689698776023  0  
86  642  11  1377  25  1  0.5309048034202485  0  
87  653  11  1400  23  1  0.5642859897041551  0  
88  664  11  1426  26  1  0.5540149622343764  0  
89  675  11  1453  27  1  0.5529970047265321  0  
90  686  11  1479  26  1  0.5414103561519489  0  
91  697  11  1507  28  1  0.5382422740160290  0  
92  708  11  1534  27  1  0.5349498339403066  0  
93  719  11  1561  27  1  0.5303731713573629  0  
94  730  11  1588  27  1  0.5318566226870491  0  
95  741  11  1617  29  1  0.5381227778780088  0  
96  752  11  1646  29  1  0.5377108130542901  0  
97  763  11  1673  27  1  0.5480053117121607  0  
98  774  11  1701  28  1  0.5484681157855528  0  
99  785  11  1730  29  1  0.5430746531175515  0  
100  798  13  1761  31  1  0.4795763170768239  0  
