Timesteps  Total_Iterations  Iterations  Total_Iterations_Surrogate_Model  Iterations_Surrogate_Model  Convergence  avgConvRate(0)  deleted_Columns  
1  1  1  8  8  1  1.0000000000000000  0  
2  6  5  22  14  1  0.6045201804179563  0  
3  11  5  40  18  1  0.5614420483284900  0  
4  16  5  59  19  1  0.5002885113559561  0  
5  21  5  81  22  1  0.6304406212258197  0  
6  28  7  107  26  1  0.7664796601141076  0  
7  35  7  134  27  1  0.6753137046357137  0  
8  42  7  162  28  1  0.6694764296608877  0  
9  47  5  182  20  1  0.6295296824203230  0  
10  54  7  208  26  1  0.7748880756801401  0  
11  59  5  228  20  1  0.5687516012415266  0  
12  64  5  249  21  1  0.5533771842434978  0  
13  67  3  264  15  1  0.6028127025055788  0  
14  76  9  296  32  1  0.6167195890945735  0  
15  85  9  330  34  1  0.5900563679973693  0  
16  94  9  363  33  1  0.6046643400210023  0  
17  103  9  396  33  1  0.6329200602645482  0  
18  112  9  430  34  1  0.7038731296987895  0  
19  121  9  464  34  1  0.6510049895190291  0  
20  126  5  486  22  1  0.5464946026107858  0  
21  137  11  526  40  1  0.6633826510147761  0  
22  146  9  558  32  1  0.6322999395678887  0  
23  155  9  590  32  1  0.6062430808080886  0  
24  164  9  623  33  1  0.6039867230186754  0  
25  173  9  655  32  1  0.6321402738204317  0  
26  182  9  689  34  1  0.7120142532821523  0  
27  191  9  722  33  1  0.6531733571074911  0  
28  196  5  743  21  1  0.5381096006863562  0  
29  201  5  765  22  1  0.5634942739278933  0  
30  210  9  795  30  1  0.6403222453179223  0  
31  219  9  828  33  1  0.6122625646731111  0  
32  228  9  862  34  1  0.6012116062888814  0  
33  237  9  895  33  1  0.6392906687358918  0  
34  246  9  927  32  1  0.7079486932868844  0  
35  255  9  959  32  1  0.6507350334581907  0  
36  264  9  989  30  1  0.6292648065806588  0  
37  273  9  1020  31  1  0.5964822183297990  0  
38  278  5  1041  21  1  0.6370504306696050  0  
39  287  9  1073  32  1  0.7043036111079932  0  
40  296  9  1108  35  1  0.6835968359217844  0  
41  301  5  1129  21  1  0.5671792093549247  0  
42  308  7  1155  26  1  0.6172915474117480  0  
43  315  7  1181  26  1  0.5620962406815626  0  
44  322  7  1207  26  1  0.5510356536316848  0  
45  331  9  1238  31  1  0.5874520292138279  0  
46  336  5  1260  22  1  0.4265998672407292  0  
47  345  9  1295  35  1  0.8121356789612925  0  
48  350  5  1318  23  1  0.5788732703262567  0  
49  357  7  1345  27  1  0.7304622820853341  0  
50  364  7  1371  26  1  0.4472716034273908  0  
51  371  7  1399  28  1  0.5059867416645057  0  
52  378  7  1426  27  1  0.4704766069153435  0  
53  385  7  1454  28  1  0.3993017292423264  0  
54  392  7  1481  27  1  0.5365439095217168  0  
55  397  5  1503  22  1  0.4830310184753500  0  
56  402  5  1525  22  1  0.5896726044909991  0  
57  409  7  1554  29  1  0.5819522133645093  0  
58  416  7  1582  28  1  0.5593455009377795  0  
59  425  9  1615  33  1  0.5389906738295734  0  
60  434  9  1648  33  1  0.5189138031732287  0  
61  441  7  1674  26  1  0.4743928422847190  0  
62  448  7  1701  27  1  0.4103896467157063  0  
63  455  7  1730  29  1  0.4710338523874800  0  
64  462  7  1759  29  1  0.5459433055989281  0  
65  469  7  1786  27  1  0.4809256110334040  0  
66  476  7  1814  28  1  0.5280777266379563  0  
67  485  9  1850  36  1  0.5285355369139136  0  
68  494  9  1884  34  1  0.5165914856415658  0  
69  501  7  1912  28  1  0.4571876503484712  0  
70  508  7  1940  28  1  0.4114564237882870  0  
71  515  7  1969  29  1  0.4935815838882602  0  
72  522  7  1998  29  1  0.5025084285963065  0  
73  529  7  2028  30  1  0.4612059940331272  0  
74  536  7  2058  30  1  0.4226577695812921  0  
75  543  7  2089  31  1  0.4607162696526141  0  
76  550  7  2119  30  1  0.4391035161885452  0  
77  557  7  2149  30  1  0.3770444248591001  0  
78  566  9  2184  35  1  0.5390510855337962  0  
79  575  9  2220  36  1  0.5411085821849232  0  
80  584  9  2255  35  1  0.5471606624775964  0  
81  595  11  2296  41  1  0.5488274612006984  0  
82  606  11  2336  40  1  0.5379256638227997  0  
83  617  11  2377  41  1  0.5249539678059131  0  
84  628  11  2417  40  1  0.5171319755397258  0  
85  639  11  2459  42  1  0.5172568093606096  0  
86  650  11  2500  41  1  0.5251370771248072  0  
87  661  11  2541  41  1  0.5379204915467279  0  
88  672  11  2584  43  1  0.5488301466545706  0  
89  683  11  2629  45  1  0.5516001271495962  0  
90  694  11  2673  44  1  0.5459747126221079  0  
91  705  11  2716  43  1  0.5372097961259390  0  
92  716  11  2759  43  1  0.5309031449331416  0  
93  727  11  2802  43  1  0.5299236840144742  0  
94  738  11  2845  43  1  0.5345108524066603  0  
95  749  11  2889  44  1  0.5425042747688210  0  
96  760  11  2933  44  1  0.5496556252780807  0  
97  771  11  2979  46  1  0.5520893309094875  0  
98  784  13  3028  49  1  0.5127444393558902  0  
99  797  13  3078  50  1  0.5019181835420792  0  
100  810  13  3128  50  1  0.4933994487679656  0  
