Timesteps  Total_Iterations  Iterations  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
1  3  3  1  0.0000381852568122  inf  0  
2  5  2  1  0.0000151602324805  inf  0  
3  7  2  1  0.0000097615629994  inf  0  
4  9  2  1  0.0000087323323894  inf  0  
5  11  2  1  0.0000076461953008  inf  0  
6  13  2  1  0.0000070675080847  inf  0  
7  15  2  1  0.0000061610803185  inf  0  
8  17  2  1  0.0000052893835430  inf  0  
9  19  2  1  0.0000078705601222  inf  0  
10  21  2  1  0.0000053614117349  inf  0  
11  23  2  1  0.0000022163790086  inf  0  
12  25  2  1  0.0000046681201002  inf  0  
13  27  2  1  0.0000046141786064  inf  0  
14  29  2  1  0.0000015442067629  inf  0  
15  31  2  1  0.0000022000470100  inf  0  
16  33  2  1  0.0000574712592709  inf  0  
17  35  2  1  0.0000055240367498  inf  0  
18  37  2  1  0.0000040652370332  inf  0  
19  39  2  1  0.0000027355219232  inf  0  
20  41  2  1  0.0000384045535007  inf  0  
21  43  2  1  0.0000014677784946  inf  0  
22  45  2  1  0.0000009280582154  inf  0  
23  47  2  1  0.0000020822183771  inf  0  
24  49  2  1  0.0000021229910910  inf  0  
25  51  2  1  0.0000015528027777  inf  0  
26  53  2  1  0.0000003733637109  inf  0  
27  55  2  1  0.0000019516492850  inf  0  
28  57  2  1  0.0000033406465537  inf  0  
29  59  2  1  0.0000018202705568  inf  0  
30  61  2  1  0.0000024719851623  inf  0  
31  63  2  1  0.0000018829678018  inf  0  
32  65  2  1  0.0000013124539340  inf  0  
33  67  2  1  0.0000029462499152  inf  0  
34  69  2  1  0.0000014085868141  inf  0  
35  71  2  1  0.0000063382345645  inf  0  
36  73  2  1  0.0000021178135694  inf  0  
37  75  2  1  0.0000045559548207  inf  0  
38  77  2  1  0.0000042616032701  inf  0  
39  79  2  1  0.0000046004526217  inf  0  
40  81  2  1  0.0000023697285896  inf  0  
41  83  2  1  0.0000078021388251  inf  0  
42  85  2  1  0.0000024936969842  inf  0  
43  87  2  1  0.0000028932594235  inf  0  
44  89  2  1  0.0000047298650805  inf  0  
45  91  2  1  0.0000124029924302  inf  0  
46  93  2  1  0.0000128756067332  inf  0  
47  95  2  1  0.0000081367122611  inf  0  
48  97  2  1  0.0000102534464622  inf  0  
49  99  2  1  0.0000118556695091  inf  0  
50  101  2  1  0.0000022053159663  inf  0  
51  103  2  1  0.0000222957933840  inf  0  
52  105  2  1  0.0000132814596251  inf  0  
53  107  2  1  0.0000103192051201  inf  0  
54  109  2  1  0.0000167335947426  inf  0  
55  111  2  1  0.0000141420928728  inf  0  
56  113  2  1  0.0000090021671248  inf  0  
57  115  2  1  0.0000084062852157  inf  0  
58  117  2  1  0.0000078228266138  inf  0  
59  119  2  1  0.0000106071376090  inf  0  
60  121  2  1  0.0000018740198720  inf  0  
61  123  2  1  0.0000047158136332  inf  0  
62  125  2  1  0.0000024314308610  inf  0  
63  127  2  1  0.0000037430135362  inf  0  
64  129  2  1  0.0000044810057356  inf  0  
65  131  2  1  0.0000046376963908  inf  0  
66  133  2  1  0.0000020122404415  inf  0  
67  135  2  1  0.0000045252780762  inf  0  
68  137  2  1  0.0000029229920835  inf  0  
69  139  2  1  0.0000024971234987  inf  0  
70  141  2  1  0.0000031624158866  inf  0  
71  143  2  1  0.0000003943719243  inf  0  
72  145  2  1  0.0000034959684517  inf  0  
73  147  2  1  0.0000026768459738  inf  0  
74  149  2  1  0.0000017238140933  inf  0  
75  151  2  1  0.0000017197543008  inf  0  
76  153  2  1  0.0000028031916395  inf  0  
77  155  2  1  0.0000005792442204  inf  0  
78  157  2  1  0.0000008023260476  inf  0  
79  159  2  1  0.0000030989585123  inf  0  
80  161  2  1  0.0000043845534860  inf  0  
81  163  2  1  0.0000033897035951  inf  0  
82  165  2  1  0.0000051673749753  inf  0  
83  167  2  1  0.0000015317301050  inf  0  
84  169  2  1  0.0000034564168293  inf  0  
85  171  2  1  0.0000026954776832  inf  0  
86  173  2  1  0.0000034497482535  inf  0  
87  175  2  1  0.0000028894466235  inf  0  
88  177  2  1  0.0000024082092492  inf  0  
89  179  2  1  0.0000040807565122  inf  0  
90  181  2  1  0.0000035155864681  inf  0  
91  183  2  1  0.0000045044523457  inf  0  
92  185  2  1  0.0000054552390835  inf  0  
93  187  2  1  0.0000050529790254  inf  0  
94  189  2  1  0.0000054341979474  inf  0  
95  191  2  1  0.0000646910790361  inf  0  
96  193  2  1  0.0000068960146531  inf  0  
97  195  2  1  0.0000089008005558  inf  0  
98  197  2  1  0.0000099289663203  inf  0  
99  199  2  1  0.0000152026242111  inf  0  
100  201  2  1  0.0000216926643893  inf  0  
