# Tau   1000fine   1000coarse   100fine   100coarse   10fine   10coarse
0.1  1.12 2.4  1.78 3.3  3.84 5.46
0.01  1.7 3.28  3.7 4.79  10.2 20.65
0.001  3.7 4.71  9.61111111111 21.2361111111  0.0 0.0
