Timesteps  Total_Iterations  Iterations  Total_Iterations_Surrogate_Model  Iterations_Surrogate_Model  Convergence  avgConvRate(0)  deleted_Columns  
1  1  1  4  4  1  1.0000000000000000  0  
2  2  1  8  4  1  1.0000000000000000  0  
3  3  1  12  4  1  1.0000000000000000  0  
4  4  1  16  4  1  1.0000000000000000  0  
5  5  1  20  4  1  1.0000000000000000  0  
6  6  1  24  4  1  1.0000000000000000  0  
7  7  1  28  4  1  1.0000000000000000  0  
8  8  1  32  4  1  1.0000000000000000  0  
9  9  1  37  5  1  1.0000000000000000  0  
10  10  1  41  4  1  1.0000000000000000  0  
11  13  3  47  6  1  0.6531182542425146  0  
12  14  1  51  4  1  1.0000000000000000  0  
13  15  1  56  5  1  1.0000000000000000  0  
14  18  3  62  6  1  0.6314943415121761  0  
15  19  1  66  4  1  1.0000000000000000  0  
16  20  1  71  5  1  1.0000000000000000  0  
17  21  1  75  4  1  1.0000000000000000  0  
18  24  3  82  7  1  0.6035473965244073  0  
19  25  1  87  5  1  1.0000000000000000  0  
20  26  1  91  4  1  1.0000000000000000  0  
21  27  1  95  4  1  1.0000000000000000  0  
22  28  1  100  5  1  1.0000000000000000  0  
23  29  1  105  5  1  1.0000000000000000  0  
24  32  3  111  6  1  0.6678177152539596  0  
25  33  1  115  4  1  1.0000000000000000  0  
26  34  1  120  5  1  1.0000000000000000  0  
27  35  1  125  5  1  1.0000000000000000  0  
28  36  1  129  4  1  1.0000000000000000  0  
29  37  1  133  4  1  1.0000000000000000  0  
30  38  1  138  5  1  1.0000000000000000  0  
31  39  1  142  4  1  1.0000000000000000  0  
32  40  1  146  4  1  1.0000000000000000  0  
33  41  1  150  4  1  1.0000000000000000  0  
34  42  1  154  4  1  1.0000000000000000  0  
35  43  1  158  4  1  1.0000000000000000  0  
36  44  1  162  4  1  1.0000000000000000  0  
37  45  1  166  4  1  1.0000000000000000  0  
38  46  1  170  4  1  1.0000000000000000  0  
39  49  3  177  7  1  0.6076574144860259  0  
40  52  3  183  6  1  0.6487619080064494  0  
41  53  1  188  5  1  1.0000000000000000  0  
42  56  3  194  6  1  0.4443415124317046  0  
43  59  3  201  7  1  0.5860137997406483  0  
44  62  3  208  7  1  0.6406752225988246  0  
45  63  1  213  5  1  1.0000000000000000  0  
46  66  3  220  7  1  0.5388690063391220  0  
47  69  3  227  7  1  0.5993583074731103  0  
48  72  3  234  7  1  0.6552684779183113  0  
49  73  1  238  4  1  1.0000000000000000  0  
50  76  3  245  7  1  0.5088804898690154  0  
51  79  3  252  7  1  0.6000452619746681  0  
52  82  3  259  7  1  0.6518675688652664  0  
53  83  1  263  4  1  1.0000000000000000  0  
54  86  3  270  7  1  0.4926122283655806  0  
55  89  3  277  7  1  0.5962641460302187  0  
56  92  3  284  7  1  0.6506287354367982  0  
57  93  1  289  5  1  1.0000000000000000  0  
58  96  3  297  8  1  0.5410816933639648  0  
59  99  3  304  7  1  0.6038771600937139  0  
60  104  5  313  9  1  0.4054687612356677  0  
61  107  3  319  6  1  0.7401489904096900  0  
62  110  3  326  7  1  0.5253891436963428  0  
63  115  5  334  8  1  0.4657781936581870  0  
64  120  5  343  9  1  0.3776985538750933  0  
65  123  3  349  6  1  0.7336138402247967  0  
66  126  3  356  7  1  0.5554729563965728  0  
67  131  5  366  10  1  0.3223906509628370  0  
68  136  5  374  8  1  0.3936563819531613  0  
69  139  3  381  7  1  0.7027593591696943  0  
70  142  3  388  7  1  0.5392292429603874  0  
71  145  3  394  6  1  0.6088822689755875  0  
72  148  3  401  7  1  0.6472690868879389  0  
73  149  1  405  4  1  1.0000000000000000  0  
74  152  3  413  8  1  0.5708045325008673  0  
75  155  3  419  6  1  0.6135437533040521  0  
76  158  3  426  7  1  0.6597457418156998  0  
77  159  1  431  5  1  1.0000000000000000  0  
78  162  3  438  7  1  0.4993300566322241  0  
79  165  3  445  7  1  0.5937567651273170  0  
80  168  3  451  6  1  0.6471172261006422  0  
81  169  1  455  4  1  1.0000000000000000  0  
82  172  3  462  7  1  0.4852422180375949  0  
83  175  3  469  7  1  0.6000930487813336  0  
84  178  3  476  7  1  0.6483724925800305  0  
85  181  3  483  7  1  0.7376292490938350  0  
86  184  3  490  7  1  0.5379295291724961  0  
87  189  5  498  8  1  0.4020152980385384  0  
88  194  5  507  9  1  0.3339962200889524  0  
89  197  3  514  7  1  0.7149626217419677  0  
90  200  3  521  7  1  0.5414132941602046  0  
91  205  5  530  9  1  0.3905430744693483  0  
92  210  5  539  9  1  0.3568836640623723  0  
93  213  3  545  6  1  0.7134037406777525  0  
94  216  3  552  7  1  0.5316957046425224  0  
95  219  3  559  7  1  0.6091382959231920  0  
96  222  3  566  7  1  0.6415710758302914  0  
97  225  3  572  6  1  0.7180349208296753  0  
98  228  3  579  7  1  0.5444162259090268  0  
99  231  3  586  7  1  0.6096887230020623  0  
100  234  3  593  7  1  0.6411125491441970  0  
