Timesteps  Total_Iterations  Iterations  Total_Iterations_Surrogate_Model  Iterations_Surrogate_Model  Convergence  avgConvRate(0)  deleted_Columns  
1  1  1  4  4  1  1.0000000000000000  0  
2  2  1  6  2  1  1.0000000000000000  0  
3  3  1  10  4  1  1.0000000000000000  0  
4  4  1  12  2  1  1.0000000000000000  0  
5  5  1  17  5  1  1.0000000000000000  0  
6  6  1  19  2  1  1.0000000000000000  0  
7  7  1  24  5  1  1.0000000000000000  0  
8  8  1  26  2  1  1.0000000000000000  0  
9  9  1  30  4  1  1.0000000000000000  0  
10  10  1  32  2  1  1.0000000000000000  0  
11  11  1  36  4  1  1.0000000000000000  0  
12  12  1  38  2  1  1.0000000000000000  0  
13  13  1  42  4  1  1.0000000000000000  0  
14  14  1  44  2  1  1.0000000000000000  0  
15  17  3  50  6  1  0.5338802984408919  0  
16  20  3  58  8  1  0.3754035411214536  0  
17  23  3  66  8  1  0.3884301204719863  0  
18  26  3  74  8  1  0.4870279466401988  0  
19  29  3  82  8  1  0.5389261282395489  0  
20  32  3  90  8  1  0.5807505225798903  0  
21  35  3  98  8  1  0.5880077568215234  0  
22  38  3  106  8  1  0.6204922869148176  0  
23  43  5  115  9  1  0.6291058021917160  0  
24  48  5  123  8  1  0.6167596671006254  0  
25  53  5  131  8  1  0.6190989480819923  0  
26  58  5  142  11  1  0.6372484529393182  0  
27  63  5  152  10  1  0.6705984433823979  0  
28  68  5  163  11  1  0.6353392306245162  0  
29  73  5  173  10  1  0.6469685667328959  0  
30  78  5  184  11  1  0.6367794042813524  0  
31  83  5  195  11  1  0.6344428366519094  0  
32  88  5  207  12  1  0.6311970962254349  0  
33  95  7  219  12  1  0.4742180194158964  0  
34  102  7  230  11  1  0.4633223230474482  0  
35  109  7  241  11  1  0.4597097095252097  0  
36  116  7  252  11  1  0.4565675643744204  0  
37  123  7  264  12  1  0.4681449336315726  0  
38  130  7  276  12  1  0.4637423306501002  0  
39  137  7  288  12  1  0.4617326135717254  0  
40  144  7  300  12  1  0.4607451645035696  0  
41  151  7  314  14  1  0.5016880435730734  0  
42  158  7  327  13  1  0.5080969942381444  0  
43  165  7  340  13  1  0.4751687567201514  0  
44  172  7  354  14  1  0.5056474307155238  0  
45  179  7  367  13  1  0.4664767700854680  0  
46  186  7  380  13  1  0.5109460815107189  0  
47  193  7  396  16  1  0.4357854451484364  0  
48  200  7  409  13  1  0.4901655318231361  0  
49  207  7  425  16  1  0.4655462702069845  0  
50  214  7  438  13  1  0.4272855093253038  0  
51  221  7  450  12  1  0.4958730318876134  0  
52  228  7  465  15  1  0.4906674726143140  0  
53  235  7  478  13  1  0.5067636623272727  0  
54  242  7  491  13  1  0.4643281924881791  0  
55  249  7  506  15  1  0.4405802524399457  0  
56  256  7  521  15  1  0.4534666471817712  0  
57  263  7  537  16  1  0.4725022569073059  0  
58  270  7  553  16  1  0.4574944678304048  0  
59  277  7  569  16  1  0.4680418496246987  0  
60  284  7  584  15  1  0.4730282847395922  0  
61  291  7  599  15  1  0.4718169862150960  0  
62  298  7  614  15  1  0.4514537848992027  0  
63  305  7  630  16  1  0.4550091593599609  0  
64  312  7  646  16  1  0.4660957081355738  0  
65  319  7  661  15  1  0.4756472531131182  0  
66  326  7  677  16  1  0.4546048359398649  0  
67  333  7  693  16  1  0.4691441168269753  0  
68  340  7  710  17  1  0.4806927427376296  0  
69  347  7  727  17  1  0.4690181674420644  0  
70  354  7  744  17  1  0.4663780803834537  0  
71  361  7  760  16  1  0.4658614110984843  0  
72  368  7  776  16  1  0.4614005220479419  0  
73  375  7  792  16  1  0.4664246888601196  0  
74  382  7  808  16  1  0.4640460415206599  0  
75  389  7  824  16  1  0.4652836674173656  0  
76  396  7  840  16  1  0.4638526547379498  0  
77  403  7  856  16  1  0.4642633335260921  0  
78  410  7  872  16  1  0.4643918232344502  0  
79  417  7  889  17  1  0.4745211526473571  0  
80  424  7  906  17  1  0.4698149122276354  0  
81  431  7  924  18  1  0.4707345475580144  0  
82  438  7  937  13  1  0.4805537562402204  0  
83  445  7  954  17  1  0.4515523204936326  0  
84  452  7  973  19  1  0.4745994201257207  0  
85  459  7  992  19  1  0.4648917822748558  0  
86  466  7  1010  18  1  0.4662140067848661  0  
87  473  7  1028  18  1  0.4673456264858341  0  
88  480  7  1046  18  1  0.4644604567474574  0  
89  487  7  1064  18  1  0.4661418405943621  0  
90  494  7  1083  19  1  0.4640995675548722  0  
91  501  7  1101  18  1  0.4667092606352406  0  
92  508  7  1119  18  1  0.4628456271773949  0  
93  515  7  1138  19  1  0.4626710017498843  0  
94  522  7  1157  19  1  0.4647437024265230  0  
95  529  7  1175  18  1  0.4633203289828762  0  
96  538  9  1196  21  1  0.4290932897050345  0  
97  547  9  1214  18  1  0.4316067403536288  0  
98  556  9  1236  22  1  0.4389359798553422  0  
99  565  9  1255  19  1  0.4166612591124207  0  
100  574  9  1277  22  1  0.4390921168514053  0  
