Timesteps  Total_Iterations  Iterations  Total_Iterations_Surrogate_Model  Iterations_Surrogate_Model  Convergence  avgConvRate(0)  deleted_Columns  
1  1  1  4  4  1  1.0000000000000000  0  
2  2  1  8  4  1  1.0000000000000000  0  
3  3  1  12  4  1  1.0000000000000000  0  
4  4  1  16  4  1  1.0000000000000000  0  
5  5  1  20  4  1  1.0000000000000000  0  
6  6  1  24  4  1  1.0000000000000000  0  
7  7  1  27  3  1  1.0000000000000000  0  
8  8  1  31  4  1  1.0000000000000000  0  
9  9  1  34  3  1  1.0000000000000000  0  
10  10  1  38  4  1  1.0000000000000000  0  
11  11  1  42  4  1  1.0000000000000000  0  
12  12  1  46  4  1  1.0000000000000000  0  
13  13  1  50  4  1  1.0000000000000000  0  
14  14  1  53  3  1  1.0000000000000000  0  
15  15  1  57  4  1  1.0000000000000000  0  
16  16  1  61  4  1  1.0000000000000000  0  
17  17  1  65  4  1  1.0000000000000000  0  
18  18  1  68  3  1  1.0000000000000000  0  
19  19  1  72  4  1  1.0000000000000000  0  
20  20  1  75  3  1  1.0000000000000000  0  
21  21  1  79  4  1  1.0000000000000000  0  
22  22  1  82  3  1  1.0000000000000000  0  
23  23  1  86  4  1  1.0000000000000000  0  
24  24  1  90  4  1  1.0000000000000000  0  
25  25  1  93  3  1  1.0000000000000000  0  
26  26  1  97  4  1  1.0000000000000000  0  
27  27  1  100  3  1  1.0000000000000000  0  
28  28  1  104  4  1  1.0000000000000000  0  
29  29  1  107  3  1  1.0000000000000000  0  
30  30  1  111  4  1  1.0000000000000000  0  
31  31  1  114  3  1  1.0000000000000000  0  
32  32  1  118  4  1  1.0000000000000000  0  
33  33  1  122  4  1  1.0000000000000000  0  
34  34  1  125  3  1  1.0000000000000000  0  
35  35  1  129  4  1  1.0000000000000000  0  
36  36  1  132  3  1  1.0000000000000000  0  
37  37  1  136  4  1  1.0000000000000000  0  
38  38  1  139  3  1  1.0000000000000000  0  
39  39  1  143  4  1  1.0000000000000000  0  
40  40  1  147  4  1  1.0000000000000000  0  
41  41  1  151  4  1  1.0000000000000000  0  
42  42  1  155  4  1  1.0000000000000000  0  
43  43  1  159  4  1  1.0000000000000000  0  
44  44  1  162  3  1  1.0000000000000000  0  
45  45  1  166  4  1  1.0000000000000000  0  
46  46  1  169  3  1  1.0000000000000000  0  
47  47  1  173  4  1  1.0000000000000000  0  
48  48  1  177  4  1  1.0000000000000000  0  
49  49  1  181  4  1  1.0000000000000000  0  
50  50  1  185  4  1  1.0000000000000000  0  
51  51  1  190  5  1  1.0000000000000000  0  
52  52  1  193  3  1  1.0000000000000000  0  
53  53  1  198  5  1  1.0000000000000000  0  
54  54  1  202  4  1  1.0000000000000000  0  
55  55  1  206  4  1  1.0000000000000000  0  
56  56  1  210  4  1  1.0000000000000000  0  
57  57  1  214  4  1  1.0000000000000000  0  
58  58  1  217  3  1  1.0000000000000000  0  
59  59  1  221  4  1  1.0000000000000000  0  
60  60  1  225  4  1  1.0000000000000000  0  
61  61  1  229  4  1  1.0000000000000000  0  
62  62  1  233  4  1  1.0000000000000000  0  
63  63  1  237  4  1  1.0000000000000000  0  
64  64  1  241  4  1  1.0000000000000000  0  
65  65  1  245  4  1  1.0000000000000000  0  
66  66  1  249  4  1  1.0000000000000000  0  
67  67  1  253  4  1  1.0000000000000000  0  
68  68  1  257  4  1  1.0000000000000000  0  
69  69  1  261  4  1  1.0000000000000000  0  
70  70  1  265  4  1  1.0000000000000000  0  
71  71  1  269  4  1  1.0000000000000000  0  
72  72  1  273  4  1  1.0000000000000000  0  
73  73  1  277  4  1  1.0000000000000000  0  
74  74  1  281  4  1  1.0000000000000000  0  
75  75  1  285  4  1  1.0000000000000000  0  
76  76  1  289  4  1  1.0000000000000000  0  
77  77  1  293  4  1  1.0000000000000000  0  
78  78  1  297  4  1  1.0000000000000000  0  
79  79  1  301  4  1  1.0000000000000000  0  
80  80  1  305  4  1  1.0000000000000000  0  
81  81  1  309  4  1  1.0000000000000000  0  
82  82  1  313  4  1  1.0000000000000000  0  
83  83  1  317  4  1  1.0000000000000000  0  
84  84  1  321  4  1  1.0000000000000000  0  
85  85  1  325  4  1  1.0000000000000000  0  
86  86  1  329  4  1  1.0000000000000000  0  
87  87  1  333  4  1  1.0000000000000000  0  
88  88  1  336  3  1  1.0000000000000000  0  
89  89  1  340  4  1  1.0000000000000000  0  
90  90  1  344  4  1  1.0000000000000000  0  
91  91  1  348  4  1  1.0000000000000000  0  
92  92  1  352  4  1  1.0000000000000000  0  
93  93  1  356  4  1  1.0000000000000000  0  
94  94  1  360  4  1  1.0000000000000000  0  
95  95  1  364  4  1  1.0000000000000000  0  
96  96  1  368  4  1  1.0000000000000000  0  
97  97  1  372  4  1  1.0000000000000000  0  
98  98  1  376  4  1  1.0000000000000000  0  
99  99  1  380  4  1  1.0000000000000000  0  
100  100  1  384  4  1  1.0000000000000000  0  
