Timesteps  Total_Iterations  Iterations  Total_Iterations_Surrogate_Model  Iterations_Surrogate_Model  Convergence  avgConvRate(0)  deleted_Columns  
1  1  1  3  3  1  1.0000000000000000  0  
2  2  1  5  2  1  1.0000000000000000  0  
3  3  1  7  2  1  1.0000000000000000  0  
4  4  1  9  2  1  1.0000000000000000  0  
5  5  1  11  2  1  1.0000000000000000  0  
6  6  1  13  2  1  1.0000000000000000  0  
7  7  1  15  2  1  1.0000000000000000  0  
8  8  1  17  2  1  1.0000000000000000  0  
9  9  1  19  2  1  1.0000000000000000  0  
10  10  1  21  2  1  1.0000000000000000  0  
11  11  1  23  2  1  1.0000000000000000  0  
12  12  1  25  2  1  1.0000000000000000  0  
13  13  1  27  2  1  1.0000000000000000  0  
14  14  1  29  2  1  1.0000000000000000  0  
15  15  1  31  2  1  1.0000000000000000  0  
16  16  1  33  2  1  1.0000000000000000  0  
17  17  1  35  2  1  1.0000000000000000  0  
18  18  1  37  2  1  1.0000000000000000  0  
19  19  1  39  2  1  1.0000000000000000  0  
20  20  1  41  2  1  1.0000000000000000  0  
21  21  1  43  2  1  1.0000000000000000  0  
22  22  1  45  2  1  1.0000000000000000  0  
23  23  1  47  2  1  1.0000000000000000  0  
24  24  1  49  2  1  1.0000000000000000  0  
25  25  1  51  2  1  1.0000000000000000  0  
26  26  1  53  2  1  1.0000000000000000  0  
27  27  1  55  2  1  1.0000000000000000  0  
28  28  1  57  2  1  1.0000000000000000  0  
29  29  1  59  2  1  1.0000000000000000  0  
30  30  1  61  2  1  1.0000000000000000  0  
31  31  1  63  2  1  1.0000000000000000  0  
32  32  1  65  2  1  1.0000000000000000  0  
33  33  1  67  2  1  1.0000000000000000  0  
34  34  1  69  2  1  1.0000000000000000  0  
35  35  1  71  2  1  1.0000000000000000  0  
36  36  1  73  2  1  1.0000000000000000  0  
37  37  1  75  2  1  1.0000000000000000  0  
38  38  1  77  2  1  1.0000000000000000  0  
39  39  1  79  2  1  1.0000000000000000  0  
40  40  1  81  2  1  1.0000000000000000  0  
41  41  1  83  2  1  1.0000000000000000  0  
42  42  1  85  2  1  1.0000000000000000  0  
43  43  1  87  2  1  1.0000000000000000  0  
44  44  1  89  2  1  1.0000000000000000  0  
45  45  1  91  2  1  1.0000000000000000  0  
46  46  1  93  2  1  1.0000000000000000  0  
47  47  1  95  2  1  1.0000000000000000  0  
48  48  1  97  2  1  1.0000000000000000  0  
49  49  1  99  2  1  1.0000000000000000  0  
50  50  1  101  2  1  1.0000000000000000  0  
51  51  1  104  3  1  1.0000000000000000  0  
52  52  1  106  2  1  1.0000000000000000  0  
53  53  1  109  3  1  1.0000000000000000  0  
54  54  1  111  2  1  1.0000000000000000  0  
55  55  1  113  2  1  1.0000000000000000  0  
56  56  1  115  2  1  1.0000000000000000  0  
57  57  1  117  2  1  1.0000000000000000  0  
58  58  1  119  2  1  1.0000000000000000  0  
59  59  1  121  2  1  1.0000000000000000  0  
60  60  1  123  2  1  1.0000000000000000  0  
61  61  1  125  2  1  1.0000000000000000  0  
62  62  1  127  2  1  1.0000000000000000  0  
63  63  1  129  2  1  1.0000000000000000  0  
64  64  1  131  2  1  1.0000000000000000  0  
65  65  1  133  2  1  1.0000000000000000  0  
66  66  1  135  2  1  1.0000000000000000  0  
67  67  1  137  2  1  1.0000000000000000  0  
68  68  1  139  2  1  1.0000000000000000  0  
69  69  1  141  2  1  1.0000000000000000  0  
70  70  1  143  2  1  1.0000000000000000  0  
71  71  1  145  2  1  1.0000000000000000  0  
72  72  1  147  2  1  1.0000000000000000  0  
73  73  1  149  2  1  1.0000000000000000  0  
74  74  1  151  2  1  1.0000000000000000  0  
75  75  1  153  2  1  1.0000000000000000  0  
76  76  1  155  2  1  1.0000000000000000  0  
77  77  1  157  2  1  1.0000000000000000  0  
78  78  1  159  2  1  1.0000000000000000  0  
79  79  1  161  2  1  1.0000000000000000  0  
80  80  1  163  2  1  1.0000000000000000  0  
81  81  1  165  2  1  1.0000000000000000  0  
82  82  1  167  2  1  1.0000000000000000  0  
83  83  1  169  2  1  1.0000000000000000  0  
84  84  1  171  2  1  1.0000000000000000  0  
85  85  1  173  2  1  1.0000000000000000  0  
86  86  1  175  2  1  1.0000000000000000  0  
87  87  1  177  2  1  1.0000000000000000  0  
88  88  1  179  2  1  1.0000000000000000  0  
89  89  1  181  2  1  1.0000000000000000  0  
90  90  1  183  2  1  1.0000000000000000  0  
91  91  1  185  2  1  1.0000000000000000  0  
92  92  1  187  2  1  1.0000000000000000  0  
93  93  1  189  2  1  1.0000000000000000  0  
94  94  1  191  2  1  1.0000000000000000  0  
95  95  1  193  2  1  1.0000000000000000  0  
96  96  1  195  2  1  1.0000000000000000  0  
97  97  1  197  2  1  1.0000000000000000  0  
98  98  1  199  2  1  1.0000000000000000  0  
99  99  1  201  2  1  1.0000000000000000  0  
100  100  1  203  2  1  1.0000000000000000  0  
