Timesteps  Total_Iterations  Iterations  Total_Iterations_Surrogate_Model  Iterations_Surrogate_Model  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
1  3  3  6  6  1  0.0034630746225012  0.9999999263892110  0  
2  8  5  13  7  1  0.1633834321169486  0.8886223109686704  0  
3  13  5  20  7  1  0.0318968137851210  0.7799199522468768  0  
4  18  5  29  9  1  0.0375625146773920  0.7524444339596098  0  
5  23  5  37  8  1  0.0858947135483320  0.7269380266452109  0  
6  28  5  44  7  1  0.0828159381788892  0.7028342577962818  0  
7  33  5  51  7  1  0.0845156323389153  0.6803119309928712  0  
8  38  5  58  7  1  0.0936527338466821  0.6596051716499959  0  
9  43  5  65  7  1  0.0852461655983493  0.6406375158472082  0  
10  48  5  72  7  1  0.0987681566140562  0.6231834098225982  0  
11  53  5  78  6  1  0.2845586288174702  0.6069772583695294  0  
12  58  5  85  7  1  0.0926383573188428  0.5917431942349010  0  
13  63  5  92  7  1  0.0999023081220561  0.5772507528435779  0  
14  68  5  98  6  1  0.3395492693275811  0.5632686444096088  0  
15  73  5  104  6  1  0.3429704948413000  0.5496150938239469  0  
16  78  5  111  7  1  0.1188441907083538  0.5361049470727460  0  
17  83  5  117  6  1  0.3534201125267570  0.5225458118807913  0  
18  88  5  123  6  1  0.3493615026162379  0.5088009449043137  0  
19  93  5  129  6  1  0.3594779839126832  0.4946971846563702  0  
20  98  5  135  6  1  0.3796514108735184  0.4800962718996085  0  
21  103  5  141  6  1  0.3598396826596743  0.4650017801260397  0  
22  108  5  147  6  1  0.3663945542289385  0.4494577943897488  0  
23  113  5  153  6  1  0.3682046959101545  0.4341213078857374  0  
24  118  5  159  6  1  0.3797409117713872  0.4205518716353233  0  
25  123  5  165  6  1  0.3733429130200932  0.4120469956844932  0  
26  128  5  171  6  1  0.3702950234844122  0.4117206467344057  0  
27  133  5  177  6  1  0.3802264192638044  0.4199361190645599  0  
28  138  5  183  6  1  0.3716998789001539  0.4332981486747245  0  
29  143  5  189  6  1  0.3780553861148508  0.4487184404191318  0  
30  148  5  195  6  1  0.3759316531580748  0.4644043953562113  0  
31  153  5  201  6  1  0.3831317276436928  0.4797014416376178  0  
32  158  5  207  6  1  0.3777875996442173  0.4944777732059437  0  
33  163  5  213  6  1  0.3793194612382961  0.5087283900368191  0  
34  168  5  219  6  1  0.3876138616863581  0.5225601833287425  0  
35  173  5  225  6  1  0.3858888150871843  0.5361666529553749  0  
36  178  5  231  6  1  0.3887063232193479  0.5496561647896284  0  
37  183  5  237  6  1  0.4018665881556864  0.5631670441013011  0  
38  188  5  243  6  1  0.3940970429944583  0.5768784495796596  0  
39  191  3  248  5  1  0.5198563708850326  0.4042069157214157  0  
40  192  1  253  5  1  1.0000000000000000  1.0000000000000000  0  
41  193  1  256  3  1  1.0000000000000000  1.0000000000000000  0  
42  194  1  259  3  1  1.0000000000000000  1.0000000000000000  0  
43  195  1  262  3  1  1.0000000000000000  1.0000000000000000  0  
44  196  1  265  3  1  1.0000000000000000  1.0000000000000000  0  
45  197  1  268  3  1  1.0000000000000000  1.0000000000000000  0  
46  198  1  271  3  1  1.0000000000000000  1.0000000000000000  0  
47  199  1  274  3  1  1.0000000000000000  1.0000000000000000  0  
48  200  1  277  3  1  1.0000000000000000  1.0000000000000000  0  
49  201  1  280  3  1  1.0000000000000000  1.0000000000000000  0  
50  202  1  283  3  1  1.0000000000000000  1.0000000000000000  0  
51  203  1  288  5  1  1.0000000000000000  1.0000000000000000  0  
52  204  1  291  3  1  1.0000000000000000  1.0000000000000000  0  
53  205  1  294  3  1  1.0000000000000000  1.0000000000000000  0  
54  206  1  297  3  1  1.0000000000000000  1.0000000000000000  0  
55  207  1  300  3  1  1.0000000000000000  1.0000000000000000  0  
56  208  1  303  3  1  1.0000000000000000  1.0000000000000000  0  
