Timesteps  Total_Iterations  Iterations  Total_Iterations_Surrogate_Model  Iterations_Surrogate_Model  Convergence  avgConvRate(0)  deleted_Columns  
1  1  1  7  7  1  1.0000000000000000  0  
2  2  1  9  2  1  1.0000000000000000  0  
3  3  1  16  7  1  1.0000000000000000  0  
4  4  1  20  4  1  1.0000000000000000  0  
5  5  1  27  7  1  1.0000000000000000  0  
6  6  1  33  6  1  1.0000000000000000  0  
7  7  1  39  6  1  1.0000000000000000  0  
8  8  1  45  6  1  1.0000000000000000  0  
9  9  1  51  6  1  1.0000000000000000  0  
10  10  1  57  6  1  1.0000000000000000  0  
11  11  1  64  7  1  1.0000000000000000  0  
12  12  1  70  6  1  1.0000000000000000  0  
13  13  1  77  7  1  1.0000000000000000  0  
14  14  1  84  7  1  1.0000000000000000  0  
15  17  3  96  12  1  0.4434316521584636  0  
16  20  3  109  13  1  0.4161990545004194  0  
17  23  3  122  13  1  0.4978606710915939  0  
18  26  3  135  13  1  0.5491110956388185  0  
19  29  3  148  13  1  0.5824450230843836  0  
20  32  3  161  13  1  0.6054885109118903  0  
21  35  3  174  13  1  0.6220557515867242  0  
22  40  5  193  19  1  0.6474189973009378  0  
23  45  5  212  19  1  0.6451255408988432  0  
24  50  5  231  19  1  0.6432134275853081  0  
25  55  5  250  19  1  0.6416997020251979  0  
26  60  5  269  19  1  0.6403977556088084  0  
27  65  5  288  19  1  0.6391198771589938  0  
28  70  5  308  20  1  0.6378173566587341  0  
29  75  5  327  19  1  0.6364402399317381  0  
30  80  5  347  20  1  0.6350198602473998  0  
31  85  5  367  20  1  0.6336088090205690  0  
32  90  5  386  19  1  0.6322319397973759  0  
33  97  7  409  23  1  0.4513550961599376  0  
34  104  7  433  24  1  0.4526661198883178  0  
35  111  7  457  24  1  0.4533476866692719  0  
36  118  7  481  24  1  0.4536347349803751  0  
37  125  7  505  24  1  0.4540115549360716  0  
38  132  7  529  24  1  0.4543478812757246  0  
39  139  7  552  23  1  0.4548143972219997  0  
40  146  7  576  24  1  0.4551455130256676  0  
41  153  7  601  25  1  0.4556753394911030  0  
42  160  7  627  26  1  0.4561700695167486  0  
43  167  7  652  25  1  0.4566163629576737  0  
44  174  7  678  26  1  0.4571748009375285  0  
45  181  7  703  25  1  0.4577188998734906  0  
46  188  7  729  26  1  0.4582304241841815  0  
47  195  7  755  26  1  0.4587235625969385  0  
48  202  7  781  26  1  0.4592792861045424  0  
49  209  7  806  25  1  0.4597200923978113  0  
50  216  7  832  26  1  0.4602173756423817  0  
51  223  7  859  27  1  0.4606197230546505  0  
52  230  7  885  26  1  0.4609893391312588  0  
53  237  7  912  27  1  0.4613648146295297  0  
54  244  7  938  26  1  0.4616779150590513  0  
55  251  7  964  26  1  0.4619925307337518  0  
56  258  7  990  26  1  0.4622554199971489  0  
57  265  7  1016  26  1  0.4625291073172030  0  
58  272  7  1042  26  1  0.4627591907150891  0  
59  279  7  1068  26  1  0.4629701381036803  0  
60  286  7  1095  27  1  0.4631607528345000  0  
61  293  7  1122  27  1  0.4633347424991216  0  
62  300  7  1148  26  1  0.4635045959261122  0  
63  307  7  1175  27  1  0.4636297255608591  0  
64  314  7  1201  26  1  0.4637869337555126  0  
65  321  7  1227  26  1  0.4639000358462016  0  
66  328  7  1254  27  1  0.4640256396754283  0  
67  335  7  1281  27  1  0.4640955890280749  0  
68  342  7  1308  27  1  0.4641971214075565  0  
69  349  7  1335  27  1  0.4642634208426584  0  
70  356  7  1362  27  1  0.4643419655965456  0  
71  363  7  1389  27  1  0.4643944556657619  0  
72  370  7  1417  28  1  0.4644508768583784  0  
73  377  7  1445  28  1  0.4644876460782721  0  
74  384  7  1473  28  1  0.4645200062185539  0  
75  391  7  1501  28  1  0.4645427819467585  0  
76  398  7  1529  28  1  0.4645559283179707  0  
77  405  7  1557  28  1  0.4645641100646594  0  
78  412  7  1585  28  1  0.4645661093067692  0  
79  419  7  1613  28  1  0.4645516949574255  0  
80  426  7  1641  28  1  0.4645452733359619  0  
81  433  7  1669  28  1  0.4645291148161427  0  
82  440  7  1697  28  1  0.4645038116979243  0  
83  447  7  1725  28  1  0.4644812334931148  0  
84  454  7  1752  27  1  0.4644460999973448  0  
85  461  7  1780  28  1  0.4644198160028195  0  
86  468  7  1807  27  1  0.4643845002670638  0  
87  475  7  1836  29  1  0.4643442636183749  0  
88  482  7  1864  28  1  0.4643087009322090  0  
89  489  7  1893  29  1  0.4642727923261375  0  
90  496  7  1921  28  1  0.4642187752399862  0  
91  503  7  1951  30  1  0.4641790725366653  0  
92  510  7  1980  29  1  0.4641391446125215  0  
93  517  7  2010  30  1  0.4640924267711525  0  
94  524  7  2040  30  1  0.4640445567446068  0  
95  531  7  2069  29  1  0.4640116894729995  0  
96  538  7  2098  29  1  0.4639642710399564  0  
97  547  9  2132  34  1  0.4237811694968380  0  
98  556  9  2167  35  1  0.4240461952365778  0  
99  565  9  2201  34  1  0.4242771715178079  0  
100  574  9  2235  34  1  0.4245237569332425  0  
