Timesteps  Total_Iterations  Iterations  Total_Iterations_Surrogate_Model  Iterations_Surrogate_Model  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
1  15  15  39  39  1  0.5382006932188087  0.5337332769407402  4  
2  30  15  74  35  1  0.4107605975466108  0.4137334334516302  5  
3  47  17  106  32  1  0.4766737911731829  0.4850813871196940  6  
4  60  13  135  29  1  0.4227965409612874  0.3804649932341874  4  
5  73  13  163  28  1  0.4350043905650413  0.4699290086616187  4  
6  84  11  189  26  1  0.5816219198497806  0.4159300110801888  3  
7  95  11  212  23  1  0.4591291011831442  0.4713105861573130  3  
8  106  11  235  23  1  0.4275118024460949  0.3769164443472595  3  
9  119  13  260  25  1  0.3934794894780690  0.3951951855187989  4  
10  132  13  283  23  1  0.5026330626295357  0.6315962611231525  4  
11  145  13  307  24  1  0.4422830270943475  0.4809296520199015  4  
12  156  11  329  22  1  0.4979045458977185  0.4689589939371502  3  
13  167  11  349  20  1  0.5048234426409839  0.3996291740432462  3  
14  178  11  370  21  1  0.5543766303428981  0.4535975469392666  3  
15  189  11  390  20  1  0.4799784485349373  0.4457972789337913  3  
16  200  11  412  22  1  0.5634902268954811  0.4307182441937870  3  
17  209  9  430  18  1  0.4762925507555225  0.4861161611780434  2  
18  218  9  447  17  1  0.4524410042281120  0.4410833726684078  2  
19  225  7  462  15  1  0.3880115192483800  0.3878830601559067  1  
20  232  7  476  14  1  0.3488391111843656  0.4020378148458774  1  
21  239  7  492  16  1  0.4352281568252404  0.4122133230940763  1  
22  250  11  512  20  1  0.6298708777768620  0.3929705882793154  3  
23  261  11  530  18  1  0.5331502035695290  0.4232628702276505  3  
24  270  9  547  17  1  0.5676741936587558  0.4908852777037503  2  
25  277  7  563  16  1  0.4709115770856511  0.2890880996170820  1  
26  284  7  579  16  1  0.3792147841292755  0.3948369173227694  1  
27  293  9  594  15  1  0.4218855810701408  0.4516442949974524  2  
28  302  9  610  16  1  0.4843167161658877  0.5071518435851576  2  
29  311  9  627  17  1  0.4637760781947970  0.3899608105747330  2  
30  318  7  643  16  1  0.4550876171938259  0.3054666302019799  1  
31  325  7  657  14  1  0.4153722025509703  0.4027047214619758  1  
32  334  9  670  13  1  0.4838031897443767  0.5803055326831279  2  
33  341  7  683  13  1  0.3861853578727259  0.3332190673476861  1  
34  348  7  696  13  1  0.6276046356758493  0.4392477569254386  1  
35  357  9  712  16  1  0.5208500610107413  0.4665698768654042  2  
