Timesteps  Total_Iterations  Iterations  Total_Iterations_Surrogate_Model  Iterations_Surrogate_Model  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
1  3  3  6  6  1  0.0034630746225012  0.9999999263892110  0  
2  8  5  14  8  1  0.1004771448374240  0.8753947767739546  0  
3  13  5  20  6  1  0.0870552716022481  0.9338285295246634  0  
4  18  5  28  8  1  0.0368578733423418  0.8511099948428933  0  
5  23  5  35  7  1  0.1083426612469247  0.7913994983089009  0  
6  28  5  42  7  1  0.1054951322247142  0.7373077729847248  0  
7  33  5  48  6  1  0.1017784234724787  0.6959339905973697  0  
8  38  5  54  6  1  0.1072587242924488  0.6772015604425470  0  
9  43  5  61  7  1  0.1013418141921891  0.6648197384921846  0  
10  48  5  67  6  1  0.1027159708943764  0.6488154583398826  0  
11  53  5  72  5  1  0.2987580049191075  0.6294900922404724  0  
12  58  5  78  6  1  0.1010095406363219  0.6105226558595180  0  
13  63  5  83  5  1  0.3126985366903300  0.5944994426399586  0  
14  68  5  88  5  1  0.3106691280434296  0.5809968167556225  0  
15  73  5  93  5  1  0.3077972460393273  0.5682465773120008  0  
16  78  5  98  5  1  0.3012599184637718  0.5549900140424613  0  
17  83  5  102  4  1  0.3122509658988951  0.5409264734892751  0  
18  88  5  106  4  1  0.3106992602803664  0.5266643250739987  0  
19  93  5  110  4  1  0.3092696145807948  0.5122581282219667  0  
20  98  5  114  4  1  0.3085941053176781  0.4974612388542348  0  
21  103  5  118  4  1  0.3074594141815761  0.4817277599699452  0  
22  108  5  122  4  1  0.3053832803850988  0.4643834745482078  0  
23  113  5  126  4  1  0.3158636153454352  0.4452809472934360  0  
24  118  5  130  4  1  0.2905425451978079  0.4232391806984194  0  
25  123  5  134  4  1  0.2947575400949059  0.3974779670232402  0  
26  128  5  138  4  1  0.2944256800203574  0.3686248090256501  0  
27  133  5  142  4  1  0.2928867782945940  0.3487012123909726  0  
28  138  5  146  4  1  0.2920854525086065  0.3622425994458902  0  
29  143  5  150  4  1  0.2907758005052931  0.3912929013760350  0  
30  148  5  154  4  1  0.2933481489472797  0.4183985393020941  0  
31  153  5  158  4  1  0.3384977381011125  0.4418181540415022  0  
32  158  5  162  4  1  0.3001751533542790  0.4618958031541939  0  
33  163  5  166  4  1  0.3272892883544071  0.4802220562747700  0  
34  168  5  170  4  1  0.2981286709333363  0.4968559831862783  0  
35  173  5  174  4  1  0.3053357587656155  0.5125748933053591  0  
36  178  5  178  4  1  0.2987900872262806  0.5275954465336729  0  
37  183  5  182  4  1  0.3004259659265169  0.5422228295731520  0  
38  188  5  186  4  1  0.2943639681196167  0.5567074452137551  0  
39  193  5  190  4  1  0.2929833903307298  0.5712550425010319  0  
40  198  5  194  4  1  0.2933125688448390  0.5861001285688214  0  
41  203  5  198  4  1  0.2909608807302505  0.6014907484811830  0  
42  208  5  202  4  1  0.2868125798724944  0.6177058759636221  0  
43  213  5  206  4  1  0.2866149143413405  0.6350877609870789  0  
44  218  5  210  4  1  0.2802809995714958  0.6540912992867255  0  
45  223  5  214  4  1  0.2734079576985324  0.6753240049261136  0  
46  228  5  218  4  1  0.2722789469961396  0.6996456399645709  0  
47  229  1  221  3  1  1.0000000000000000  1.0000000000000000  0  
48  230  1  224  3  1  1.0000000000000000  1.0000000000000000  0  
49  231  1  227  3  1  1.0000000000000000  1.0000000000000000  0  
50  232  1  230  3  1  1.0000000000000000  1.0000000000000000  0  
51  233  1  233  3  1  1.0000000000000000  1.0000000000000000  0  
52  234  1  236  3  1  1.0000000000000000  1.0000000000000000  0  
53  235  1  239  3  1  1.0000000000000000  1.0000000000000000  0  
54  236  1  242  3  1  1.0000000000000000  1.0000000000000000  0  
55  237  1  245  3  1  1.0000000000000000  1.0000000000000000  0  
56  238  1  248  3  1  1.0000000000000000  1.0000000000000000  0  
57  239  1  251  3  1  1.0000000000000000  1.0000000000000000  0  
58  244  5  255  4  1  0.3091298517044571  0.6934423665446663  0  
59  249  5  259  4  1  0.3297523666611528  0.6607732574237227  0  
60  254  5  263  4  1  0.3247094146472840  0.6406326277370817  0  
61  259  5  267  4  1  0.3217940752268979  0.6252491579536568  0  
62  264  5  271  4  1  0.3205838709900890  0.6095365158040699  0  
63  269  5  275  4  1  0.3178883682899923  0.5949545462104471  0  
64  274  5  279  4  1  0.3159609543107726  0.5812503263926648  0  
65  279  5  283  4  1  0.3144347028801135  0.5676005533687012  0  
66  284  5  287  4  1  0.3128212507232456  0.5538720777041881  0  
67  289  5  291  4  1  0.3114378790713911  0.5401542636681008  0  
68  294  5  295  4  1  0.3105276860526525  0.5263538913667621  0  
69  299  5  299  4  1  0.3090928805123894  0.5122059943027909  0  
70  304  5  303  4  1  0.3084125434812327  0.4973714707833986  0  
71  309  5  307  4  1  0.3073799619684596  0.4814774336575018  0  
72  314  5  311  4  1  0.3053450202573432  0.4640377686132847  0  
73  319  5  315  4  1  0.3151681791917162  0.4449531963177196  0  
74  324  5  319  4  1  0.2904213646660120  0.4229941156444597  0  
75  329  5  323  4  1  0.2944703170562807  0.3972841374298200  0  
76  334  5  327  4  1  0.2942784589469904  0.3684078539513871  0  
77  339  5  331  4  1  0.2934632994696558  0.3485086849155438  0  
78  344  5  335  4  1  0.2918182911170383  0.3622194491827453  0  
79  349  5  339  4  1  0.2895180650685196  0.3913236259748004  0  
80  354  5  343  4  1  0.2941937300085993  0.4184271361785826  0  
81  359  5  348  5  1  0.1538235584649346  0.4416516427550983  0  
82  364  5  353  5  1  0.2861185533479607  0.4619195821629732  0  
83  369  5  358  5  1  0.1377766051762423  0.4801665488689840  0  
84  374  5  363  5  1  0.2869730703190427  0.4968558876568249  0  
85  379  5  368  5  1  0.0964218625429185  0.5126043282138536  0  
86  384  5  374  6  1  0.0924684416877413  0.5276095824213392  0  
87  389  5  380  6  1  0.0944762539477427  0.5422327105119163  0  
88  394  5  386  6  1  0.0872853438756625  0.5567023588955069  0  
89  399  5  391  5  1  0.2572649214757234  0.5712437884934659  0  
90  404  5  397  6  1  0.0951680688333986  0.5860767900399323  0  
91  409  5  404  7  1  0.1004207564012808  0.6014506783329613  0  
92  414  5  411  7  1  0.0903482965333476  0.6176447756100101  0  
93  419  5  418  7  1  0.0856604355724139  0.6350032448784730  0  
94  424  5  425  7  1  0.0885381865039544  0.6539715487392116  0  
95  429  5  433  8  1  0.0301208571542555  0.6751563067666033  0  
96  434  5  441  8  1  0.0284566547910802  0.6994286265023852  0  
97  439  5  450  9  1  0.0316975318885005  0.7280966159556641  0  
98  444  5  459  9  1  0.0573304050739158  0.7632213490236386  0  
99  449  5  469  10  1  0.0319391097328373  0.8080854719464738  0  
100  454  5  477  8  1  0.0974258728489936  0.8668893543037189  0  
