# Tau   1000fine   1000coarse   100fine   100coarse   10fine   10coarse
0.1  1.0 1.0  1.0 2.0  1.0 2.02
0.01  1.0 1.0  1.0 2.0  4.94 10.76
0.001  1.0 1.0  2.4 4.83  14.0 92.0
