Timesteps  Total_Iterations  Iterations  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
34  221  6  1  0.1306970969620415  0.1177252037564801  0  
35  227  6  1  0.1169162027206499  0.1026687100583202  0  
36  233  6  1  0.1160382056662974  0.1038539692620558  0  
37  239  6  1  0.1116267059866079  0.1017265367216096  0  
38  246  7  1  0.1893728989283427  0.1323863606945568  0  
39  252  6  1  0.1427495674183597  0.1285818507169255  0  
40  259  7  1  0.2390219425876801  0.1690235833561144  0  
41  266  7  1  0.2388114104588209  0.1560246469115681  0  
42  273  7  1  0.1458671030277354  0.1168379318098806  0  
43  279  6  1  0.1288042742774250  0.0964868834901032  0  
44  286  7  1  0.1644923261943078  0.0916480404445822  0  
45  292  6  1  0.1113929435481863  0.0674105732264259  0  
46  298  6  1  0.1492880593646789  0.0742254285178332  0  
47  304  6  1  0.1162487219323757  0.0773618134811919  0  
48  311  7  1  0.1770076192942765  0.1166635606380406  0  
49  317  6  1  0.1754897562236363  0.1649685864371356  0  
50  324  7  1  0.2216297198392835  0.1460315818544284  0  
51  330  6  1  0.1347731320901673  0.1323588780999574  0  
52  337  7  1  0.1552637223197695  0.1294142798440285  0  
53  343  6  1  0.1090736218091202  0.0817740362272611  0  
54  350  7  1  0.1515628154176340  0.1126980715410662  0  
55  356  6  1  0.1045466404530502  0.0886105042624169  0  
56  363  7  1  0.1406589535963829  0.1168587888008080  0  
57  369  6  1  0.1107658735339413  0.1002934423800073  0  
58  376  7  1  0.1575785347294082  0.1261545090015938  0  
59  384  8  1  0.1443644938605661  0.1328463601179400  0  
60  391  7  1  0.1810130994962386  0.1303918205110338  0  
61  397  6  1  0.1105151899301055  0.1049596359613970  0  
62  403  6  1  0.1109800194125561  0.0800953736125743  0  
63  409  6  1  0.1175914900277219  0.0890343912546338  0  
64  416  7  1  0.1557436365233808  0.1053409817849723  0  
65  423  7  1  0.1742403203852308  0.0984086979519567  0  
66  431  8  1  0.1899770148193093  0.1078038032832381  0  
67  438  7  1  0.1574319262823918  0.1202928302050559  0  
68  446  8  1  0.2034199368747084  0.2060953179248996  0  
69  453  7  1  0.1492965883154046  0.1003186204065565  0  
70  460  7  1  0.1370942407984037  0.1456196547695301  0  
71  467  7  1  0.1340828863961870  0.1127764047280881  0  
72  474  7  1  0.1212670866015999  0.1101564267059879  0  
73  480  6  1  0.1195897750294161  0.0888565236455858  0  
74  486  6  1  0.1020812397325542  0.0766251735856185  0  
75  493  7  1  0.1532378114930384  0.0881113133611533  0  
76  499  6  1  0.1291528595060734  0.0943431568674329  0  
77  506  7  1  0.1593872834289998  0.1176757740855148  0  
78  513  7  1  0.2085596252262404  0.1554611364543928  0  
79  520  7  1  0.1011956109980118  0.1034923414485570  0  
80  527  7  1  0.1312644667214832  0.1208860854078961  0  
81  534  7  1  0.1148225644591698  0.1069041816439037  0  
82  541  7  1  0.1352935402016642  0.1198743075707368  0  
83  548  7  1  0.1306795944913536  0.1001172166893170  0  
84  555  7  1  0.1477145848290509  0.0945517913585280  0  
85  562  7  1  0.1798261734788852  0.1041232913764199  0  
86  569  7  1  0.1727335826705390  0.0954159551755579  0  
87  577  8  1  0.2233553413326232  0.1931050911262355  0  
88  584  7  1  0.1232793421571313  0.1172126069148804  0  
89  590  6  1  0.1017538997670293  0.1274492884284377  0  
90  597  7  1  0.1021424888469208  0.0977040822065993  0  
91  603  6  1  0.0924966084249263  0.0681307274204196  0  
92  609  6  1  0.1229996415214018  0.0888324287889656  0  
93  616  7  1  0.1108404724235021  0.0770935366492510  0  
94  623  7  1  0.1611470657743581  0.0924701855003384  0  
95  630  7  1  0.1627886458094184  0.1181920070379748  0  
96  638  8  1  0.1522659569673952  0.1260243983201728  0  
97  645  7  1  0.1845614145239424  0.1371254112923595  0  
98  652  7  1  0.1392361617049782  0.1311982872282921  0  
99  659  7  1  0.1361263855461038  0.1184522989725404  0  
100  666  7  1  0.1321380860970675  0.1170975602229914  0  
