Timesteps  Total_Iterations  Iterations  Total_Iterations_Surrogate_Model  Iterations_Surrogate_Model  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
1  13  13  19  19  1  0.3778774097272516  0.2514294681099460  0  
2  24  11  37  18  1  0.2742410799933205  0.2147510104246720  0  
3  33  9  51  14  1  0.2228188509814723  0.1602772721061553  0  
4  42  9  63  12  1  0.2321644875081641  0.1766709056459844  0  
5  51  9  74  11  1  0.2568892784501611  0.1959162066107159  0  
6  58  7  85  11  1  0.2158871502267302  0.1274111039840845  0  
7  65  7  95  10  1  0.2092882529015820  0.1218299515190348  0  
8  74  9  106  11  1  0.1954988096791648  0.1546314381450752  0  
9  81  7  116  10  1  0.1830041813542449  0.1192265692664028  0  
10  88  7  125  9  1  0.2199028257710288  0.1645302099771276  0  
11  95  7  133  8  1  0.1916142905921229  0.1211388518414153  0  
12  102  7  142  9  1  0.1761290875639146  0.1455244075686725  0  
13  107  5  150  8  1  0.1534946190048363  0.1199420913355562  0  
14  114  7  159  9  1  0.2223853378542612  0.1066292102204139  0  
15  121  7  167  8  1  0.2401888865788188  0.1051145263362845  0  
16  126  5  174  7  1  0.1894782752000711  0.1104803767904911  0  
17  131  5  181  7  1  0.1618217826268935  0.0746267818963895  0  
18  138  7  189  8  1  0.1653304179282547  0.1520643514004385  0  
19  143  5  196  7  1  0.1160470079394685  0.0947458418959457  0  
20  148  5  203  7  1  0.1130398855444191  0.0727224226136561  0  
21  153  5  210  7  1  0.1650124502099666  0.0914439228065499  0  
22  158  5  216  6  1  0.1110115554160891  0.0644797682261792  0  
23  163  5  222  6  1  0.1000323349057109  0.0500345271009691  0  
24  168  5  228  6  1  0.1602090309744435  0.0639395902240348  0  
25  173  5  233  5  1  0.0959442322443492  0.1004684833666635  0  
26  178  5  240  7  1  0.1439264481592621  0.0609096828653087  0  
27  183  5  246  6  1  0.1358127105570084  0.0516736848153879  0  
28  188  5  254  8  1  0.1231707962707250  0.0570557843530641  0  
29  193  5  261  7  1  0.1253865934234037  0.0705384956761848  0  
30  198  5  268  7  1  0.0826981909250561  0.0543827229218828  0  
31  203  5  276  8  1  0.1291837766083372  0.0716386231343746  0  
32  208  5  284  8  1  0.1083408502965899  0.0511774889390184  0  
33  213  5  291  7  1  0.2017346938698985  0.0904429640512510  0  
34  218  5  299  8  1  0.1132499425969990  0.0669000591596410  0  
35  223  5  306  7  1  0.1514759251388816  0.0847440007157873  0  
36  228  5  313  7  1  0.1439919103321809  0.0634567964316551  0  
37  233  5  320  7  1  0.0984938300035476  0.0428268293348269  0  
38  238  5  326  6  1  0.0879398941815712  0.0656197120583569  0  
39  243  5  332  6  1  0.0884725337344625  0.0429771601650840  0  
40  248  5  340  8  1  0.1262387154719938  0.0654702576972324  0  
41  253  5  346  6  1  0.1515821474930102  0.0941285857116826  0  
42  258  5  352  6  1  0.1306715785395600  0.0633587527735787  0  
43  263  5  359  7  1  0.1050150735301877  0.0639423095966596  0  
44  268  5  365  6  1  0.1237949048847965  0.0647815367840826  0  
45  273  5  372  7  1  0.1304582693257610  0.0714678839018357  0  
46  278  5  380  8  1  0.0901155982525668  0.0514107277837010  0  
47  283  5  387  7  1  0.1291773397033569  0.0672523753977416  0  
48  288  5  394  7  1  0.1621257376798267  0.0404406140083344  0  
49  295  7  403  9  1  0.1433003991472442  0.1285446541810908  0  
50  302  7  411  8  1  0.1752486302392410  0.1570386782418847  0  
51  307  5  418  7  1  0.1440085081130938  0.1140295906749592  0  
52  312  5  426  8  1  0.1041620939433684  0.0848462103381132  0  
53  317  5  433  7  1  0.1229564192959814  0.0683213154193233  0  
54  322  5  440  7  1  0.1423649650610896  0.1007066863593233  0  
55  327  5  448  8  1  0.0621961159398588  0.0771470793562729  0  
56  332  5  455  7  1  0.1029024334343610  0.0979576867326881  0  
57  337  5  462  7  1  0.1399291125316534  0.1184218406652039  0  
58  342  5  470  8  1  0.1463810650136469  0.1113119444197997  0  
59  347  5  476  6  1  0.1438314304253973  0.0853883346515598  0  
60  352  5  484  8  1  0.1588543945087901  0.0874503199446846  0  
61  359  7  492  8  1  0.1461670653342314  0.1219018257925302  0  
62  364  5  500  8  1  0.1731126379878914  0.1128204702057566  0  
63  369  5  508  8  1  0.1759565085094577  0.1094534730441329  0  
64  374  5  515  7  1  0.1315757023417107  0.1638718535128577  0  
65  381  7  524  9  1  0.1737740193149028  0.2108480452457292  0  
66  388  7  533  9  1  0.1937361576567528  0.2555305164047725  0  
67  395  7  543  10  1  0.2828136149319648  0.2374549775671537  0  
68  402  7  552  9  1  0.2573627387902354  0.1922550629380203  0  
69  409  7  561  9  1  0.2711651605843119  0.2314375420808281  0  
70  416  7  569  8  1  0.2045994874895148  0.1699839309901452  0  
71  421  5  578  9  1  0.1365073001988850  0.0905853315572613  0  
72  428  7  589  11  1  0.2833104697775874  0.2867734480359115  0  
73  437  9  599  10  1  0.3687426106837852  0.3360705019449105  0  
74  448  11  611  12  1  0.4291667053188966  0.3912881614557822  0  
75  459  11  625  14  1  0.4580980987690538  0.3658451892887835  0  
76  474  15  642  17  1  0.5505930954150204  0.5544316506071871  0  
77  509  35  673  31  1  0.7209182183620718  0.8068500099666311  0  
78  606  97  754  81  1  0.8882445283913571  0.9386422129341349  0  
