# Tau   1000fine   1000coarse   100fine   100coarse   10fine   10coarse
0.1  1.12 2.39  1.94 3.36  4.58 5.88
0.01  1.88 3.3  4.54 4.63  4.98 14.25
0.001  4.54 4.77  4.97849462366 15.2365591398  4.66666666667 44.0
