Timesteps  Total_Iterations  Iterations  Total_Iterations_Surrogate_Model  Iterations_Surrogate_Model  Convergence  avgConvRate(0)  deleted_Columns  
1  3  3  7  7  1  0.7348529010640276  0  
2  8  5  16  9  1  0.4490006037044624  0  
3  13  5  26  10  1  0.3697152494111042  0  
4  18  5  37  11  1  0.4164152065561443  0  
5  21  3  46  9  1  0.6604203302765308  0  
6  26  5  58  12  1  0.5088488916223650  0  
7  31  5  69  11  1  0.5241910292757848  0  
8  36  5  80  11  1  0.5143962112896390  0  
9  39  3  89  9  1  0.7605172879736827  0  
10  44  5  101  12  1  0.5516211460172122  0  
11  47  3  108  7  1  0.7495552836721384  0  
12  50  3  116  8  1  0.6640768641124700  0  
13  55  5  128  12  1  0.6073733308852836  0  
14  60  5  140  12  1  0.5857053883591760  0  
15  65  5  153  13  1  0.6255128627432949  0  
16  70  5  165  12  1  0.7168888178875051  0  
17  73  3  173  8  1  0.6985070236489442  0  
18  76  3  180  7  1  0.5037191073550114  0  
19  79  3  188  8  1  0.6099415877392815  0  
20  84  5  199  11  1  0.7096695615875341  0  
21  89  5  211  12  1  0.6434278275212060  0  
22  94  5  223  12  1  0.6726987926109951  0  
23  99  5  235  12  1  0.7359686438222277  0  
24  102  3  243  8  1  0.6601883226788536  0  
25  105  3  252  9  1  0.4831874789193245  0  
26  108  3  259  7  1  0.5018595096025138  0  
27  111  3  267  8  1  0.6747481406795435  0  
28  116  5  278  11  1  0.7468570545549313  0  
29  121  5  289  11  1  0.7549695969372477  0  
30  124  3  296  7  1  0.6701346478610368  0  
31  127  3  304  8  1  0.6236876797187527  0  
32  130  3  312  8  1  0.7053087957835182  0  
33  133  3  321  9  1  0.5569540396690257  0  
34  136  3  330  9  1  0.5925592609258787  0  
35  139  3  339  9  1  0.5365391657980523  0  
36  142  3  348  9  1  0.6596443158115257  0  
37  147  5  360  12  1  0.4805288384255726  0  
38  152  5  372  12  1  0.4600249096104136  0  
39  157  5  384  12  1  0.4608463901511430  0  
40  162  5  396  12  1  0.4578438113761446  0  
41  167  5  408  12  1  0.4514265988752559  0  
42  172  5  419  11  1  0.4354742869296234  0  
43  177  5  431  12  1  0.4271682588741466  0  
44  182  5  443  12  1  0.4124707986525186  0  
45  187  5  455  12  1  0.3976514617346034  0  
46  192  5  467  12  1  0.3833224286899909  0  
47  197  5  479  12  1  0.3681388287911142  0  
48  202  5  491  12  1  0.3542309171292514  0  
49  207  5  503  12  1  0.3539021503806258  0  
50  212  5  513  10  1  0.4504976829942850  0  
51  217  5  524  11  1  0.4301072185673560  0  
52  222  5  534  10  1  0.4567313058237693  0  
53  227  5  544  10  1  0.4576175417361071  0  
54  232  5  556  12  1  0.4199650578950424  0  
55  237  5  567  11  1  0.4463509604708887  0  
56  242  5  578  11  1  0.4526804814133615  0  
57  247  5  589  11  1  0.4564629375058204  0  
58  252  5  600  11  1  0.4566565205470269  0  
59  257  5  611  11  1  0.4556827817317170  0  
60  262  5  622  11  1  0.4563977782398879  0  
61  267  5  634  12  1  0.4718427808652852  0  
62  272  5  646  12  1  0.4768329958346997  0  
63  277  5  658  12  1  0.4836602869126100  0  
64  282  5  670  12  1  0.4909840028277545  0  
65  287  5  682  12  1  0.4962772009227818  0  
66  292  5  695  13  1  0.5214068129056340  0  
67  297  5  708  13  1  0.5221260424821617  0  
68  302  5  721  13  1  0.5228632879430773  0  
69  307  5  734  13  1  0.5250788475557441  0  
70  312  5  747  13  1  0.5288880524930241  0  
71  317  5  760  13  1  0.5328472295368828  0  
72  322  5  773  13  1  0.5352400326554962  0  
73  327  5  786  13  1  0.5356862417870594  0  
74  332  5  799  13  1  0.5352359303743582  0  
75  337  5  812  13  1  0.5351982120372677  0  
76  342  5  825  13  1  0.5361245608849196  0  
77  347  5  837  12  1  0.5183391638536304  0  
78  352  5  849  12  1  0.5201863888358181  0  
79  357  5  861  12  1  0.5217862891973256  0  
80  362  5  873  12  1  0.5224186307289098  0  
81  367  5  885  12  1  0.5216180817157030  0  
82  372  5  897  12  1  0.5197094239134775  0  
83  377  5  909  12  1  0.5175028206103772  0  
84  382  5  921  12  1  0.5156337840062036  0  
85  387  5  932  11  1  0.5137975092317009  0  
86  392  5  943  11  1  0.5131432350701964  0  
87  397  5  954  11  1  0.5111517089874889  0  
88  402  5  965  11  1  0.5072706054014163  0  
89  407  5  976  11  1  0.5021717648425714  0  
90  412  5  987  11  1  0.4968953041047214  0  
91  417  5  997  10  1  0.4655244121012659  0  
92  422  5  1008  11  1  0.4512816810958144  0  
93  427  5  1019  11  1  0.4461394231571300  0  
94  432  5  1030  11  1  0.4865946519612223  0  
95  437  5  1040  10  1  0.4159921055753459  0  
96  442  5  1050  10  1  0.4058766964378979  0  
97  447  5  1060  10  1  0.4058214485293855  0  
98  452  5  1070  10  1  0.4081491873955488  0  
99  457  5  1079  9  1  0.4337994400879978  0  
100  462  5  1088  9  1  0.4338668776167389  0  
