# Tau   1000fine   1000coarse   100fine   100coarse   10fine   10coarse
0.1  1.0 1.0  1.0 1.06  1.0 2.98
0.01  1.0 1.0  1.0 1.18  4.62 10.88
0.001  1.0 1.0  3.0 7.65  0.0 0.0
