Timesteps  Total_Iterations  Iterations  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
1  4  4  1  0.0323115228298762  0.0177006690292212  0  
2  7  3  1  0.0219019873820124  0.0099534501572040  0  
3  10  3  1  0.0071560208126393  0.0048073727234926  0  
4  12  2  1  0.0044585088685727  0.0296244553693507  0  
5  15  3  1  0.0217954889716644  0.0098816080402410  0  
6  17  2  1  0.0119911152416094  0.0029533260280110  0  
7  19  2  1  0.0118219089604288  0.0015934608008909  0  
8  21  2  1  0.0117740868546062  0.0013358969213947  0  
9  23  2  1  0.0117585179689202  0.0015448261454859  0  
10  25  2  1  0.0117536374297692  0.0007830567756274  0  
11  27  2  1  0.0117522799033970  0.0010117693350119  0  
12  29  2  1  0.0117518754211240  0.0009048872383104  0  
13  31  2  1  0.0117519173047306  0.0008792359506923  0  
14  33  2  1  0.0117520067443848  0.0007791754735955  0  
15  35  2  1  0.0117521372406088  0.0006288606841745  0  
16  37  2  1  0.0117521954368596  0.0010361528338924  0  
17  39  2  1  0.0117523517670898  0.0007605019580046  0  
18  41  2  1  0.0117524691714878  0.0007087703548298  0  
19  43  2  1  0.0117525407295976  0.0006745163459095  0  
20  45  2  1  0.0117527025126428  0.0007667617150904  0  
21  47  2  1  0.0117527432398703  0.0009030998018908  0  
22  49  2  1  0.0117528708839076  0.0007147753387113  0  
23  51  2  1  0.0117529590741951  0.0006728244714913  0  
24  53  2  1  0.0117530914054312  0.0007455622433604  0  
25  55  2  1  0.0117531552597257  0.0007232357283811  0  
26  57  2  1  0.0117532405599993  0.0005587148271570  0  
27  59  2  1  0.0117533544666474  0.0006136517988691  0  
28  61  2  1  0.0117534141390891  0.0007818378902243  0  
29  63  2  1  0.0117534876683724  0.0005562611573112  0  
30  65  2  1  0.0117535898697092  0.0005593095974312  0  
31  67  2  1  0.0117536732744203  0.0005625425486860  0  
32  69  2  1  0.0117538607729996  0.0008777358304951  0  
33  71  2  1  0.0117539200989350  0.0008048069299581  0  
34  73  2  1  0.0117540229344745  0.0005403536229596  0  
35  75  2  1  0.0117541592939771  0.0005612607950812  0  
36  77  2  1  0.0117542984134444  0.0005614586277073  0  
37  79  2  1  0.0117544680201800  0.0006456983523658  0  
38  81  2  1  0.0117545573807084  0.0010003536825127  0  
39  83  2  1  0.0117547824813967  0.0007745415817558  0  
40  85  2  1  0.0117549298886229  0.0010448286678000  0  
41  87  2  1  0.0117551397270768  0.0007749291571578  0  
42  89  2  1  0.0117553306986408  0.0012159232893444  0  
43  91  2  1  0.0117557971740469  0.0010557955154782  0  
44  93  2  1  0.0117560532153491  0.0016098392484962  0  
45  95  2  1  0.0117567718293909  0.0012093656640442  0  
46  97  2  1  0.0117575442764017  0.0014722020046128  0  
47  99  2  1  0.0117583594225576  0.0024430754261690  0  
48  101  2  1  0.0117603106047875  0.0022802858121118  0  
49  103  2  1  0.0117651653565237  0.0031815164180361  0  
50  105  2  1  0.0117786498839515  0.0094938862847041  0  
51  107  2  1  0.0117014793991976  0.0227423504748761  0  
52  109  2  1  0.0117399456535654  0.0115369188393882  0  
53  111  2  1  0.0117452934307303  0.0025898262259661  0  
54  113  2  1  0.0117477415303491  0.0018954297877386  0  
55  115  2  1  0.0117493052865952  0.0013609710537063  0  
56  117  2  1  0.0117500751177266  0.0013552505497790  0  
57  119  2  1  0.0117507653865124  0.0010017304852920  0  
58  121  2  1  0.0117511226638763  0.0012844854348635  0  
59  123  2  1  0.0117512876837097  0.0014652523052281  0  
60  125  2  1  0.0117516450427853  0.0007692202441257  0  
61  127  2  1  0.0117518336135437  0.0008647479791031  0  
62  129  2  1  0.0117520746683207  0.0007345027568512  0  
63  131  2  1  0.0117522810369623  0.0007438349220378  0  
64  133  2  1  0.0117523103231418  0.0012034947896970  0  
65  135  2  1  0.0117525038707614  0.0007845261735487  0  
66  137  2  1  0.0117526163834801  0.0006397724288975  0  
67  139  2  1  0.0117526493985736  0.0010828429912129  0  
68  141  2  1  0.0117527194102659  0.0006286590976289  0  
69  143  2  1  0.0117527809567990  0.0008080790705504  0  
70  145  2  1  0.0117529660497463  0.0010155731329374  0  
71  147  2  1  0.0117530588417726  0.0005658529508664  0  
72  149  2  1  0.0117530229399628  0.0010998445913605  0  
73  151  2  1  0.0117531324742575  0.0006063164807511  0  
74  153  2  1  0.0117532010425306  0.0006474363901611  0  
75  155  2  1  0.0117532281423041  0.0007617222787424  0  
76  157  2  1  0.0117533385998702  0.0005971180617490  0  
77  159  2  1  0.0117533872089905  0.0006863565530687  0  
78  161  2  1  0.0117534117835485  0.0008714488045586  0  
79  163  2  1  0.0117535116657458  0.0006045226640093  0  
80  165  2  1  0.0117536410057376  0.0006143136146554  0  
81  167  2  1  0.0117536572893882  0.0008558042618502  0  
82  169  2  1  0.0117537427050933  0.0006338585807186  0  
83  171  2  1  0.0117537957519346  0.0008014169368079  0  
84  173  2  1  0.0117538918480578  0.0006614584565781  0  
85  175  2  1  0.0117540202822248  0.0006171001965591  0  
86  177  2  1  0.0117540777792462  0.0008917425891361  0  
87  179  2  1  0.0117542354743681  0.0006556302543073  0  
88  181  2  1  0.0117543544410266  0.0008244525812457  0  
89  183  2  1  0.0117545219255503  0.0007212906669228  0  
90  185  2  1  0.0117548473884389  0.0010391521938436  0  
91  187  2  1  0.0117549488182578  0.0013008041266697  0  
92  189  2  1  0.0117552458775435  0.0007766267340183  0  
93  191  2  1  0.0117555795854945  0.0009906503883120  0  
94  193  2  1  0.0117558977249541  0.0014460010584500  0  
95  195  2  1  0.0117565226702948  0.0011277783080008  0  
96  197  2  1  0.0117572776268112  0.0015370071185706  0  
97  200  3  1  0.0004435234948344  0.0040323119745027  0  
98  203  3  1  0.0026334188729209  0.0092559853801478  0  
99  206  3  1  0.0039194332798538  0.0157830474664064  0  
100  209  3  1  0.0006992979218663  0.0157012752816857  0  
