Timesteps  Total_Iterations  Iterations  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
1  4  4  1  0.0058939127642101  0.0440439402727417  0  
2  7  3  1  0.0159845950264554  0.0181950710381260  0  
3  10  3  1  0.0026290773937836  0.0035440668691796  0  
4  12  2  1  0.0044557136999403  0.1899638714329901  0  
5  14  2  1  0.0043053449147774  0.0128998127713935  0  
6  16  2  1  0.0042809107337218  0.0012705361748446  0  
7  18  2  1  0.0042742444029818  0.0008855712864892  0  
8  20  2  1  0.0042751813373376  0.0009405033828459  0  
9  22  2  1  0.0042752737789210  0.0006961022169217  0  
10  24  2  1  0.0042755962229108  0.0010109616847765  0  
11  26  2  1  0.0042757389318210  0.0006854959605101  0  
12  28  2  1  0.0042756504755963  0.0008793419634027  0  
13  30  2  1  0.0042759382213783  0.0009775357408583  0  
14  32  2  1  0.0042757390346946  0.0010853380750119  0  
15  34  2  1  0.0042759954265234  0.0009485772937050  0  
16  36  2  1  0.0042758625635423  0.0009374824762426  0  
17  38  2  1  0.0042759351354179  0.0005852089514132  0  
18  40  2  1  0.0042761375670278  0.0008435396889099  0  
19  42  2  1  0.0042761961103515  0.0005517531113925  0  
20  44  2  1  0.0042763650367595  0.0007743934565048  0  
21  46  2  1  0.0042763194845447  0.0006985582474871  0  
22  48  2  1  0.0042764160411654  0.0006202874871732  0  
23  50  2  1  0.0042764388763058  0.0005767024219467  0  
24  52  2  1  0.0042764960785676  0.0005784332840161  0  
25  54  2  1  0.0042764875618161  0.0006101840363315  0  
26  56  2  1  0.0042766108500019  0.0007324311343356  0  
27  58  2  1  0.0042765374815886  0.0007810580504498  0  
28  60  2  1  0.0042765652619135  0.0005735699465389  0  
29  62  2  1  0.0042766295961531  0.0005736763197421  0  
30  64  2  1  0.0042766281790900  0.0006149859087095  0  
31  66  2  1  0.0042767683325876  0.0007535146804775  0  
32  68  2  1  0.0042768892967225  0.0007223330518061  0  
33  70  2  1  0.0042767647329204  0.0009205557415976  0  
34  72  2  1  0.0042768853238973  0.0007149825865682  0  
35  74  2  1  0.0042770660867053  0.0008127629114087  0  
36  76  2  1  0.0042770703867945  0.0006617420741544  0  
37  78  2  1  0.0042770006301824  0.0008485015137039  0  
38  80  2  1  0.0042771916318169  0.0008415193778127  0  
39  82  2  1  0.0042771566085691  0.0007899966403187  0  
40  84  2  1  0.0042775454799836  0.0012029597857057  0  
41  86  2  1  0.0042774618627928  0.0009859545385843  0  
42  88  2  1  0.0042775733609895  0.0007299540355634  0  
43  90  2  1  0.0042776740786948  0.0007885960594489  0  
44  92  2  1  0.0042782560854585  0.0013551712684202  0  
45  94  2  1  0.0042786665189890  0.0009901162159367  0  
46  96  2  1  0.0042787860912979  0.0011377080828561  0  
47  98  2  1  0.0042791401545257  0.0012063219754874  0  
48  100  2  1  0.0042799046373729  0.0013720826690408  0  
49  102  2  1  0.0042832597776324  0.0022756343090274  0  
50  104  2  1  0.0042940081498877  0.0022832623498100  0  
51  106  2  1  0.0042577106315147  0.0036101664193491  0  
52  108  2  1  0.0042693559289781  0.0023379288564634  0  
53  110  2  1  0.0042735344964417  0.0029577873574927  0  
54  112  2  1  0.0042737539016264  0.0018850581799893  0  
55  114  2  1  0.0042745058895818  0.0011900127772411  0  
56  116  2  1  0.0042750375288758  0.0010804896457480  0  
57  118  2  1  0.0042751125911842  0.0010128985607167  0  
58  120  2  1  0.0042755709324921  0.0011816337801348  0  
59  122  2  1  0.0042756212577334  0.0008804681158213  0  
60  124  2  1  0.0042756195729704  0.0008309499852501  0  
61  126  2  1  0.0042757685420712  0.0007584428440501  0  
62  128  2  1  0.0042759222661209  0.0007585584564283  0  
63  130  2  1  0.0042759596775452  0.0007160832501557  0  
64  132  2  1  0.0042759788009397  0.0007069439410205  0  
65  134  2  1  0.0042760147005452  0.0006408088653922  0  
66  136  2  1  0.0042760780071049  0.0006519358574730  0  
67  138  2  1  0.0042761421382146  0.0006304521457678  0  
68  140  2  1  0.0042763365933933  0.0008435640155133  0  
69  142  2  1  0.0042763888346123  0.0005680686784907  0  
70  144  2  1  0.0042763753386970  0.0006332052658091  0  
71  146  2  1  0.0042763299647079  0.0006632808256634  0  
72  148  2  1  0.0042764232236933  0.0006500228873528  0  
73  150  2  1  0.0042764475092405  0.0005747836078666  0  
74  152  2  1  0.0042765030308418  0.0005847618528708  0  
75  154  2  1  0.0042764938462318  0.0006180875714096  0  
76  156  2  1  0.0042764488926343  0.0006529911543710  0  
77  158  2  1  0.0042765400706562  0.0006315778518655  0  
78  160  2  1  0.0042765661453217  0.0005184564646719  0  
79  162  2  1  0.0042766284184123  0.0005505638960867  0  
80  164  2  1  0.0042767956669209  0.0008091589586863  0  
81  166  2  1  0.0042767663773318  0.0006570672029008  0  
82  168  2  1  0.0042768818100722  0.0006673587970148  0  
83  170  2  1  0.0042767582909880  0.0008512155280633  0  
84  172  2  1  0.0042770692282500  0.0010743076098836  0  
85  174  2  1  0.0042767564037463  0.0012207266565156  0  
86  176  2  1  0.0042768475936067  0.0005877841513912  0  
87  178  2  1  0.0042769913518027  0.0006965713124587  0  
88  180  2  1  0.0042771786313758  0.0007647603515824  0  
89  182  2  1  0.0042768924968941  0.0012352576818692  0  
90  184  2  1  0.0042772673728253  0.0011245744793863  0  
91  186  2  1  0.0042777597685544  0.0013251904057621  0  
92  188  2  1  0.0042775728153334  0.0011476519856318  0  
93  190  2  1  0.0042776699030429  0.0006997157369730  0  
94  192  2  1  0.0042778372761753  0.0007432057561388  0  
95  194  2  1  0.0042781671145928  0.0008348330633646  0  
96  196  2  1  0.0042787817315389  0.0011660141303331  0  
97  198  2  1  0.0042791418990498  0.0011093113158630  0  
98  200  2  1  0.0042809754188273  0.0019820764132222  0  
99  202  2  1  0.0042800737321670  0.0037513715543959  0  
100  205  3  1  0.0050707879762030  0.0399541326124267  0  
